Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205)
1.2595952912805215e-13,0.058717038926530046,0.0,0.14579414448341482,0.031075110263184432,0.31940961420368774,0.35048479213945055,0.20701222018021495,0.09201800004221419,0.0,7.334947892949918e-41,8.899890583020427e-14,1.4669894271865994e-40,0.0,2.7680201281748924e-84,2.0573704507615684e-47,1.6204449827697716e-68,1.959294705529744e-39,7.899357077700045e-58,1.2853277398231444e-47,7.516515808164381e-27,2.2990719459151206e-93,3.0274885733839947e-38,2.3458946297066435e-62,4.381345149684664e-66,1.1266511157484795e-96,8.899890583021176e-14,2.3610655889539803e-74,1.9549849185234972e-07,6.767266745305782e-08
1.468970770987641e-13,0.058717038926530046,0.0,0.1457941012158297,0.031075110263184432,0.3194096029549576,0.35048479213943573,0.20701222018021495,0.09201796802335914,0.0,1.1634384427475695e-40,1.0379269612983396e-13,2.326876645345488e-40,0.0,8.1083820914039675e-84,3.2599170677477603e-47,3.494665971548343e-68,2.6647956787109515e-39,1.252962642859333e-57,2.038732552520776e-47,8.765944187227441e-27,4.958203543809422e-93,3.530730175417882e-38,3.720958941587758e-62,9.448856558904503e-66,2.996550298059475e-96,1.0379269612984269e-13,4.3675223858682035e-74,2.275173469041122e-07,7.89213975357588e-08
1.6783462506947605e-13,0.058717038926530046,0.0,0.14579405808294454,0.031075110263184432,0.3194095917062615,0.3504847921394209,0.20701222018021495,0.09201793613917016,0.0,1.7351963840706714e-40,1.1858648642946304e-13,3.47039240997301e-40,0.0,2.0575188995152688e-83,4.85816206825526e-47,6.802735494418178e-68,3.478569067876451e-39,1.868716184184739e-57,3.040643340671108e-47,1.0015372566290392e-26,9.65167237077648e-93,4.033971526809682e-38,5.549579817449853e-62,1.8393207729311527e-65,7.0262557385108e-96,1.1858648642947303e-13,7.442314442401719e-74,2.594015358671167e-07,9.017009375252592e-08
1.88772173040188e-13,0.058717038926530046,0.0,0.14579401508419293,0.031075110263184432,0.31940958045759915,0.3504847921394061,0.20701222018021495,0.09201790438908089,0.0,2.468981700572326e-40,1.3338027672909149e-13,4.937962891512965e-40,0.0,4.6790227136617524e-83,6.908386820661454e-47,1.2244361547388614e-67,4.400614799181498e-39,2.6589647746334855e-57,4.3264801811494464e-47,1.1264800945353239e-26,1.737222191346476e-92,4.5372126286135737e-38,7.89640362378047e-62,3.310627153395382e-65,1.4956038687864463e-95,1.333802767291027e-13,1.1910589224209937e-73,2.9115162511437415e-07,1.0141875611382247e-07
2.0970972101089995e-13,0.058717038926530046,0.0,0.14579397221901086,0.031075110263184432,0.3194095692089707,0.35048479213939127,0.20701222018021495,0.09201787277252738,0.0,3.385007479554525e-40,1.4817406702871925e-13,6.770014260397082e-40,0.0,9.760758237448427e-83,9.466872693332238e-47,2.0716882440697643e-67,5.430932799249401e-39,3.645476857086328e-57,5.93166315082052e-47,1.2514229324415973e-26,2.9392993213009976e-92,5.040453481879307e-38,1.0826076727047789e-61,5.601427491984866e-65,2.9488802349038953e-95,1.4817406702873175e-13,1.8140755837826806e-73,3.227681786368064e-07,1.1266738463006797e-07
2.5158481695232386e-13,0.058717038926530046,0.0,0.14579388688711134,0.031075110263184432,0.31940954671181504,0.3504847921393617,0.20701222018021495,0.0920178099377834,0.0,5.844632774275651e-40,1.7776164762797307e-13,1.1689264342138938e-39,0.0,3.497599357106252e-82,1.6333753273255897e-46,5.148038081387006e-67,7.816385314491407e-39,6.294365269642686e-57,1.024174778538748e-46,1.5013086082541124e-26,7.304011449532342e-92,6.04693444697322e-38,1.86925562906076e-61,1.3919266479772412e-64,9.632833165068545e-95,1.77761647627988e-13,3.757670400798945e-73,3.8560292262083e-07,1.3516454016886717e-07
2.9345991289374776e-13,0.058717038926530046,0.0,0.1457938020827812,0.031075110263184432,0.31940952421479485,0.3504847921393321,0.20701222018021495,0.09201774763047355,0.0,9.275776967356328e-40,2.073492282272243e-13,1.855155202006507e-39,0.0,1.0280381151124981e-81,2.5909054757025596e-46,1.1116251613189932e-66,1.0634926035850011e-38,9.989528965660504e-57,1.6254257860527512e-46,1.751194284066584e-26,1.5771691071318376e-91,7.053414430401422e-38,2.9666189442132783e-61,3.0056137274827524e-64,2.636659251505724e-94,2.0734922822724175e-13,6.956264688484557e-73,4.479102324858049e-07,1.576615604514143e-07
3.3533500883517166e-13,0.058717038926530046,0.0,0.14579371780159314,0.031075110263184432,0.3194095017179097,0.3504847921393025,0.20701222018021495,0.0920176858461706,0.0,1.3840144758010637e-39,2.3693680882647315e-13,2.7680286659225578e-39,0.0,2.613448865979664e-81,3.864302809397974e-46,2.1657401781459577e-66,1.3886554392894287e-38,1.49051154890453e-56,2.4252553992556958e-46,2.001079959879012e-26,3.0727441036967826e-91,8.059893440404154e-38,4.4264147115919563e-61,5.855733424424501e-64,6.333812598415891e-94,2.3693680882649305e-13,1.1860324654107356e-72,5.096945354230411e-07,1.8015844555951372e-07
3.7721010477659557e-13,0.058717038926530046,0.0,0.1457936340391571,0.031075110263184432,0.31940947922115964,0.3504847921392729,0.20701222018021495,0.09201762458048454,0.0,1.96994408451572e-39,2.6652438942571935e-13,3.939887762407962e-39,0.0,5.949955692168023e-81,5.498592423271657e-46,3.9005623213230204e-66,1.7571269822432724e-38,2.1215272383384334e-56,3.451999679727437e-46,2.2509656356913968e-26,5.534104737421072e-91,9.066371485152482e-38,6.300360024531841e-61,1.0546352375656486e-63,1.3767405952475003e-93,2.665243894257417e-13,1.8989534420284112e-72,5.709602214628019e-07,2.0265519557428908e-07
4.1908520071801947e-13,0.058717038926530046,0.0,0.1457935507911198,0.031075110263184432,0.3194094567245447,0.35048479213924333,0.20701222018021495,0.09201756382906223,0.0,2.7015369927553458e-39,2.961119700249631e-13,5.4030734278764054e-39,0.0,1.2421698689373388e-80,7.538799412146732e-46,6.6027011861317e-66,2.1689071768431915e-38,2.909414719209127e-56,4.7339946890195865e-46,2.500851311503738e-26,9.367892200362954e-91,1.0072848572748876e-37,8.640171976316353e-61,1.7852407359533813e-63,2.765074661003051e-93,2.96111970024988e-13,2.8932796165545976e-72,6.317116437860215e-07,2.251518105761888e-07
