Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210)
1.6299956242330365e-11,0.08478463093452131,0.0,0.2104790278171248,0.031075110263184432,0.31939623971083053,0.3504768443591575,0.20700455004862836,0.09201386852485052,0.0,4.939192030007867e-24,9.766843508907915e-08,1.0169488043894695e-21,0.0,1.8836694588851275e-34,8.715124444413324e-11,6.93704877710182e-26,3.1246181694455816e-22,1.792589613184575e-35,4.200879863536219e-14,1.7247174563696571e-16,6.138606799589732e-57,1.4857860254406122e-12,3.729961763668725e-38,2.617090889542422e-24,2.508612375238439e-43,9.762506079641894e-08,1.8577551027015968e-39,4.326817023484108e-06,9.400335929956671e-06,7.719706214103398e-06,7.85011194708747e-06,4.347120225922972e-06,3.6456918592212364e-06,5.6693757751207815e-08,1.8995730636223288e-07,7.654647570384327e-12,1.7436788738743005e-08,1.8646284153084838e-07,1.474480789496125e-07,2.273143361919793e-09,3.323011318481479e-06
1.6381424627167572e-11,0.08478463093452131,0.0,0.2104788507798917,0.031075110263184432,0.31939617461367154,0.3504768070896863,0.20700452095168778,0.09201386841086708,0.0,5.036464393551734e-24,9.815658369421846e-08,1.0322872069617702e-21,0.0,1.9408832900836206e-34,8.855845265156256e-11,7.076761702114272e-26,3.1559297223817033e-22,1.8196023932820402e-35,4.2429745084665864e-14,1.7333375606438612e-16,6.29355265334883e-57,1.4932399588711473e-12,3.786169048778435e-38,2.669830592147298e-24,2.5848078927126062e-43,9.811277513414539e-08,1.8951740429293366e-39,4.326937964163772e-06,9.442109943063624e-06,7.763553334939468e-06,7.886893269661348e-06,4.359611769044445e-06,3.6649552026482474e-06,5.705826194006864e-08,1.9187011270542356e-07,7.723992643389733e-12,1.7699731258413596e-08,1.8832353352404826e-07,1.4920068629966423e-07,2.2964356206552167e-09,3.339616715488447e-06
1.646289301200478e-11,0.08478463093452131,0.0,0.21047867378969823,0.031075110263184432,0.3193961095357398,0.3504767698435906,0.20700449191809256,0.09201386830132703,0.0,5.135358108312632e-24,9.864473224746466e-08,1.0477792196788623e-21,0.0,1.999538166636462e-34,8.998165562953872e-11,7.218574295486925e-26,3.1873973733274163e-22,1.84688518981945e-35,4.2852789798038915e-14,1.7419576635516152e-16,6.451611635069082e-57,1.5006941991778008e-12,3.842938174562897e-38,2.7233636751262704e-24,2.662922544797493e-43,9.860048725893145e-08,1.933155415420982e-39,4.327054597357775e-06,9.48383620895317e-06,7.80745223342319e-06,7.923651216805153e-06,4.372039997233392e-06,3.684225670581745e-06,5.742307533722125e-08,1.9379249651794777e-07,7.793647475032288e-12,1.7965300297893214e-08,1.901932939274472e-07,1.509645456492126e-07,2.3198505810341157e-09,3.3562220821061095e-06
1.6544361396841985e-11,0.08478463093452131,0.0,0.21047849684604428,0.031075110263184432,0.31939604447701403,0.3504767326208555,0.2070044629475219,0.09201386819608057,0.0,5.235896128164616e-24,9.913288074885036e-08,1.0634256110595894e-21,0.0,2.0596629855937276e-34,9.14209627985521e-11,7.362507485224783e-26,3.219021122196339e-22,1.874439345579119e-35,4.3277932771642084e-14,1.750577765095551e-16,6.612830421598083e-57,1.5081487467966044e-12,3.9002719350293216e-38,2.777698062142132e-24,2.7429948155185275e-43,9.908819717083235e-08,1.971704827695525e-39,4.327167073750084e-06,9.525514784728928e-06,7.85140289387384e-06,7.960385803361482e-06,4.384405231255914e-06,3.7035032194342663e-06,5.778819648845594e-08,1.9572445641814035e-07,7.86361207383571e-12,1.8233508761190848e-08,1.920721190277979e-07,1.5273966668957276e-07,2.3433882877769006e-09,3.372827418346207e-06
1.6625829781679192e-11,0.08478463093452131,0.0,0.21047831994843663,0.031075110263184432,0.3193959794374729,0.3504766954214663,0.20700443403965657,0.0920138680949833,0.0,5.3381016678276325e-24,9.962102919840803e-08,1.0792271496741915e-21,0.0,2.121287076616692e-34,9.287648389361445e-11,7.508582303038655e-26,3.2508009689021604e-22,1.9022662033428062e-35,4.370517400163757e-14,1.7591978652782862e-16,6.777256154028885e-57,1.5156036021634537e-12,3.958173124183703e-38,2.8328417163623e-24,2.8250637650352726e-43,9.957590486990326e-08,2.010827915082237e-39,4.327275538765184e-06,9.567145727432517e-06,7.895405300571096e-06,7.997097044163407e-06,4.39670779025301e-06,3.7227878057016252e-06,5.8153623957317796e-08,1.9766599100106793e-07,7.933886448327457e-12,1.8504369548369587e-08,1.939600050909677e-07,1.5452605906748313e-07,2.367048785328579e-09,3.389432724220376e-06
1.6707298166516398e-11,0.08478463093452131,0.0,0.2104781430963889,0.031075110263184432,0.319395914417095,0.3504766582454081,0.20700440519417915,0.09201386799789582,0.0,5.441998204752561e-24,1.0010917759617024e-07,1.0951846041443919e-21,0.0,2.1844402062784727e-34,9.434832896449197e-11,7.656819884344064e-26,3.2827369133586434e-22,1.930367105891717e-35,4.413451348418904e-14,1.7678179641024248e-16,6.944936439997127e-57,1.5230587657141057e-12,4.016644536030812e-38,2.888802640460835e-24,2.9091690353688242e-43,1.000636103561993e-07,2.0505303407205936e-39,4.327380132751669e-06,9.608729094043614e-06,7.939459437755555e-06,8.033784954034488e-06,4.408947991748797e-06,3.7420793859627866e-06,5.851935632460686e-08,1.996170988385881e-07,8.004470607038689e-12,1.8777895555516176e-08,1.9585694836200222e-07,1.5632373238564086e-07,2.3908321178592885e-09,3.4060379997401462e-06
1.6788766551353605e-11,0.08478463093452131,0.0,0.21047796628942128,0.031075110263184432,0.319395849415859,0.3504766210926659,0.2070043764107736,0.09201386790468365,0.0,5.547609481009527e-24,1.0059732594216938e-07,1.111298743143485e-21,0.0,2.249152582386039e-34,9.583660837593769e-11,7.807241468260104e-26,3.3148289554796274e-22,1.9587433960065048e-35,4.4565951215461613e-14,1.776438061570559e-16,7.115919355978206e-57,1.5305142378841803e-12,4.075688964574208e-38,2.945588876620479e-24,2.995350856157662e-43,1.0055131362977549e-07,2.0908177955602058e-39,4.327480991159413e-06,9.650264941480044e-06,7.983565289629247e-06,8.070449547788788e-06,4.4211261516587185e-06,3.761377916879741e-06,5.888539218789334e-08,2.015777784794079e-07,8.07536455850425e-12,1.9054099674710644e-08,1.9776294506518833e-07,1.5813269620322212e-07,2.4147383292648164e-09,3.4226432449169473e-06
1.687023493619081e-11,0.08478463093452131,0.0,0.2104777895270604,0.031075110263184432,0.3193957844337437,0.3504765839632252,0.2070043476891257,0.09201386781521698,0.0,5.654959505179505e-24,1.0108547423643802e-07,1.1275703353964232e-21,0.0,2.315454858323573e-34,9.73414328079234e-11,7.959868397608369e-26,3.347077095179018e-22,1.9873964164672736e-35,4.499948719162185e-14,1.7850581576852666e-16,7.290253449584384e-57,1.5379700191091601e-12,4.1353092038162357e-38,3.0032085065346768e-24,3.0836500504419377e-43,1.010390146906868e-07,2.1316959983607415e-39,4.327578244710562e-06,9.69175332659782e-06,8.027722840356144e-06,8.107090840230876e-06,4.433242584297683e-06,3.780683355197379e-06,5.9251730161047605e-08,2.0354802844914254e-07,8.146568311262656e-12,1.9332994793996055e-08,1.9967799140411809e-07,1.5995296003638765e-07,2.4387674631671287e-09,3.439248459762105e-06
1.6951703321028018e-11,0.08478463093452131,0.0,0.21047761280883914,0.031075110263184432,0.3193957194707281,0.35047654685707097,0.20700431902892263,0.09201386772937065,0.0,5.764072554249198e-24,1.0157362247900853e-07,1.1440001496799056e-21,0.0,2.3833781374171894e-34,9.886291325587073e-11,8.114722118911814e-26,3.3794813323707995e-22,2.016327510053574e-35,4.5435121408837736e-14,1.7936782524491135e-16,7.46798774186195e-57,1.5454261098243882e-12,4.1955080477580287e-38,3.061669651409609e-24,3.1741080404762156e-43,1.0152671353898813e-07,2.173170695691858e-39,4.327672019564563e-06,9.733194306191225e-06,8.071932074062657e-06,8.143708846155826e-06,4.445297602388176e-06,3.799995657743365e-06,5.96183688737844e-08,2.0552784725037393e-07,8.218081873856053e-12,1.9614593797348337e-08,2.0160208356175174e-07,1.6178453335877413e-07,2.4629195629148936e-09,3.455853644286847e-06
1.7033171705865225e-11,0.08478463093452131,0.0,0.2104774361342965,0.031075110263184432,0.3193956545267907,0.35047650977418865,0.20700429042985333,0.09201386764702385,0.0,5.87497317550914e-24,1.0206177066991335e-07,1.160588954822465e-21,0.0,2.4529539773210307e-34,1.004011610308819e-10,8.271824182393655e-26,3.4120416669690246e-22,2.0455380195444107e-35,4.5872853863278643e-14,1.8022983458646511e-16,7.649171729588346e-57,1.5528825104650702e-12,4.256288290399513e-38,3.120980471966222e-24,3.266766853570666e-43,1.0201441017473436e-07,2.2152476619331236e-39,4.32776243747743e-06,9.774587936992878e-06,8.116192974838098e-06,8.18030358034924e-06,4.457291517068336e-06,3.819314781428011e-06,5.99853069712207e-08,2.0751723336270897e-07,8.289905254830218e-12,1.989890956464614e-08,2.035352177004808e-07,1.6362742560197178e-07,2.487194671584002e-09,3.472458798502299e-06
