Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608)
2.304396644600492e-11,0.09987580875752079,0.0,24.79332175472117,0.030962568933059584,0.31753425720943895,0.34952805304143447,0.20611442724812193,0.09163692769883852,0.0,1.8264655427865684e-20,2.3531658259827045e-06,1.4823810524853033e-17,0.0,1.6808610449919642e-27,8.702562454172184e-08,4.124217200799021e-20,2.3708154409002933e-21,5.843762368793253e-30,3.809610998305912e-10,1.210415534858688e-13,9.259244808773632e-48,7.44273700163769e-10,7.306554982616715e-32,8.040676919387729e-19,3.5564721623670067e-35,2.284803474258196e-06,5.628684811918388e-32,0.0003810201584206139,0.0009202377075541131,0.0016047845182289055,0.0009543859322785939,0.0003892059119896182,0.0005085866390213804,0.0008142487526955653,1.5611550933347053e-05,9.366672627724853e-10,0.00012564176498549318,0.00011254133012483611,1.5295505013755456e-05
2.315971817572173e-11,0.09987580875752079,0.0,24.793295986420468,0.030962329018547428,0.3175257055536659,0.34952459339934344,0.20611144834502693,0.091636929846237,0.0,1.8541088814389668e-20,2.364971419502181e-06,1.5052294466822256e-17,0.0,1.731958325046754e-27,8.856619528452929e-08,4.207164516108812e-20,2.3946518238398686e-21,5.932176430762702e-30,3.847949285263974e-10,1.2164844735959865e-13,9.493936570337135e-48,7.483218239894985e-10,7.417100443517258e-32,8.20240495262493e-19,3.6645771947250436e-35,2.2959374396922634e-06,5.742549384130974e-32,0.00038101986135756174,0.0009225642271846581,0.0016150973304518538,0.0009578337687760648,0.0003896353629900024,0.000511136087281548,0.0008189307273332151,1.5849036262378354e-05,9.424944961891064e-10,0.00012694625662736353,0.0001127812446369976,1.5534169049526155e-05
2.3275469905438543e-11,0.09987580875752079,0.0,24.79327022232994,0.030962090926930683,0.31751715955216053,0.34952114454442323,0.20610847491753467,0.09163693208162192,0.0,1.8820295831850026e-20,2.3767768963512242e-06,1.5283167763884224e-17,0.0,1.784341575681417e-27,9.012656272702758e-08,4.2913516322298635e-20,2.4186070824149746e-21,6.021477082742425e-30,3.886479272696419e-10,1.222553324699791e-13,9.733361646721013e-48,7.523740163993672e-10,7.52875441881519e-32,8.366550435421132e-19,3.775402599285439e-35,2.307068225095338e-06,5.858132147700782e-32,0.0003810195589129543,0.000924876630190722,0.0016254272863229571,0.0009612708182194133,0.0003900593807298373,0.0005136854931803616,0.0008236123184997521,1.6088912997586962e-05,9.48332688062739e-10,0.00012825712313837035,0.0001130193362537398,1.5775304032998126e-05
2.3391221635155354e-11,0.09987580875752079,0.0,24.79324446235662,0.030961854644367223,0.3175086191738329,0.3495177064429449,0.2061055068977321,0.09163693440601411,0.0,1.9102290298047463e-20,2.3885822568936108e-06,1.5516444069407978e-17,0.0,1.838036491703863e-27,9.170688616751187e-08,4.376790718985484e-20,2.4426812118537845e-21,6.1116687349374225e-30,3.925200957420434e-10,1.228622088330327e-13,9.977591229742898e-48,7.564302876317217e-10,7.641522422604002e-32,8.533137097221342e-19,3.889002722613217e-35,2.3181958347569764e-06,5.975450285303696e-32,0.000381019251436593,0.0009271750098444704,0.0016357743212367713,0.0009646971143371725,0.0003904780330553358,0.0005162348567846405,0.0008282934648142056,1.6331191794136793e-05,9.5418183472809e-10,0.00012957435168776412,0.00011325561881720124,1.6018921993899672e-05
2.3506973364872165e-11,0.09987580875752079,0.0,24.793218706408616,0.030961620157120014,0.31750008438780414,0.3495142790612851,0.20610254421855434,0.0916369368204708,0.0,1.9387086030458178e-20,2.400387501491982e-06,1.575213705845568e-17,0.0,1.8930691491278873e-27,9.330732540320023e-08,4.4634940033632306e-20,2.466874207391817e-21,6.202755797384822e-30,3.9641143362582073e-10,1.2346907646458318e-13,1.0226697220442564e-47,7.604906478546935e-10,7.7554099687669e-32,8.702188778903744e-19,4.005432717346172e-35,2.3293202729774325e-06,6.094521064822661e-32,0.00038101893925742526,0.0009294594588358786,0.0016461383708257593,0.000968112690752394,0.00039089138696550617,0.0005187841781603465,0.0008329741053819436,1.657588326730149e-05,9.600419325244333e-10,0.0001308979293536307,0.0001134901060644077,1.6265034937588735e-05
2.3622725094588976e-11,0.09987580875752079,0.0,24.793192954395145,0.03096138745155635,0.31749155516340544,0.3495108623659255,0.20609958681377374,0.09163693932608433,0.0,1.967469684623531e-20,2.412192630507842e-06,1.5990260427823445e-17,0.0,1.9494660088795933e-27,9.492804072853498e-08,4.5514737694861174e-20,2.491186064271901e-21,6.2947426799540484e-30,4.003219406036849e-10,1.2407593538025821e-13,1.0480752232577764e-47,7.645551071665002e-10,7.870422570977028e-32,8.873729432723125e-19,4.124748550028045e-35,2.340441544067607e-06,6.215361839343872e-32,0.00038101862268480915,0.0009317300692762669,0.0016565193709589387,0.000971517580982977,0.00039129950862273156,0.0005213334573725964,0.0008376541797915594,1.682299799220883e-05,9.659129777956216e-10,0.00013222784312397957,0.00011372281162807015,1.651365484488164e-05
2.3738476824305788e-11,0.09987580875752079,0.0,24.793167206226453,0.030961156514147048,0.3174830314701768,0.34950745632345276,0.20609663461798985,0.09163694192398118,0.0,1.99651365622104e-20,2.4239976443015686e-06,1.6230827896081726e-17,0.0,2.007253920520931e-27,9.656919293348305e-08,4.640742358583923e-20,2.5156167777441386e-21,6.387633792346993e-30,4.0425161635883336e-10,1.2468278559549149e-13,1.0739829596119797e-47,7.686236755957425e-10,7.986565742697687e-32,9.04778312225447e-19,4.2470070089778056e-35,2.3515596523489994e-06,6.337990047153003e-32,0.00038101830200970013,0.0009339869327018166,0.0016669172577405392,0.0009749118184419987,0.0003917024633632168,0.0005238826944856709,0.0008423336281117737,1.7072546503587486e-05,9.717949668900931e-10,0.00013356407989782346,0.0001139537490373771,1.6764793671884064e-05
2.38542285540226e-11,0.09987580875752079,0.0,24.79314146181388,0.030960927331465642,0.31747451327786563,0.3495040609005577,0.20609368756661897,0.09163694461532089,0.0,2.0258418994894775e-20,2.435802543232409e-06,1.6473853203615288e-17,0.0,2.0664601259903462e-27,9.823094330183522e-08,4.731312168964585e-20,2.5401663430658723e-21,6.481433544098182e-30,4.0820046057494406e-10,1.2528962712552548e-13,1.1004003360748806e-47,7.726963631017018e-10,8.103844997182528e-32,9.224374022336793e-19,4.3722657121950314e-35,2.362674602153659e-06,6.462423211731405e-32,0.0003810179775057672,0.0009362301400770622,0.0016773319675086637,0.0009782954364380414,0.00039210031570730447,0.0005264318895630262,0.0008470123908883609,1.7324539295516056e-05,9.776878961608828e-10,0.00013490662648625023,0.00011418293171878065,1.7018463349823898e-05
2.396998028373941e-11,0.09987580875752079,0.0,24.793115721069796,0.03096069989018765,0.31746600055642543,0.3495006760640358,0.20609074559588375,0.09163694740129497,0.0,2.0554557960481e-20,2.4476073276584903e-06,1.6719350112662674e-17,0.0,2.1271122633605335e-27,9.991345360950484e-08,4.823195655985706e-20,2.5648347555016523e-21,6.576146344574936e-30,4.1216847293616893e-10,1.258964599854137e-13,1.1273348299348823e-47,7.767731795746347e-10,8.222265847475762e-32,9.403526419017091e-19,4.500583115301343e-35,2.3737863978241306e-06,6.588678941752318e-32,0.0003810176494304411,0.0009384597817983644,0.0016877634368339606,0.00098166846817552,0.0003924931293696638,0.0005289810426673034,0.000851690409141091,1.7578986821174482e-05,9.835917619656306e-10,0.000136255469613487,0.00011441037299677664,1.7274675784886222e-05
2.408573201345622e-11,0.09987580875752079,0.0,24.793089983907578,0.030960474177089747,0.3174574932760144,0.3494973017807861,0.20608780864280327,0.09163695028312624,0.0,2.0853567274844283e-20,2.459411997936817e-06,1.6967332407355332e-17,0.0,2.1892383706132744e-27,1.0161688612282524e-07,4.9164053320261545e-20,2.5896220103231986e-21,6.671776602977537e-30,4.161556531271278e-10,1.2650328419002287e-13,1.1547939911502524e-47,7.808541348360661e-10,8.341833806412367e-32,9.585264709494577e-19,4.632018519517891e-35,2.384895043713409e-06,6.716774931077091e-32,0.0003810173180258997,0.0009406759476973593,0.0016982116025183037,0.0009850309467550069,0.00039288096726935014,0.0005315301538603391,0.0008563676243606919,1.7835899492597784e-05,9.895065606665912e-10,0.00013761059591795643,0.000114636086094679,1.7533442858050236e-05
2.4201483743173033e-11,0.09987580875752079,0.0,24.793064250241653,0.030960250179049034,0.31744899140699434,0.3494939380178111,0.20608487664518305,0.0916369532620678,0.0,2.115546075354389e-20,2.471216554423279e-06,1.7217813893756214e-17,0.0,2.2528668894313626e-27,1.0334140359684663e-07,5.010953766457755e-20,2.614528102809373e-21,6.768328728339379e-30,4.201620008329027e-10,1.2711009975403553e-13,1.182785442698575e-47,7.849392386390823e-10,8.462554386618276e-32,9.769613402065029e-19,4.7666320796788687e-35,2.396000544184888e-06,6.846728958751406e-32,0.0003810169835199936,0.0009428787270443895,0.0017086764015934773,0.000988382905173559,0.00039326389153974045,0.0005340792232031755,0.0008610439785058296,1.8095287680432047e-05,9.95432288630643e-10,0.00013897199195332533,0.000114860084135388,1.7794776424928192e-05
2.4317235472889844e-11,0.09987580875752079,0.0,24.793038519987444,0.030960027883042272,0.31744049491992904,0.34949058474221645,0.2060819495416054,0.09163695633940232,0.0,2.146025221182454e-20,2.4830209974726537e-06,1.7470808399897995e-17,0.0,2.3180266690076017e-27,1.0508716927363199e-07,5.1068535856170895e-20,2.6395530282461463e-21,6.865807129527116e-30,4.241875157390314e-10,1.2771690669195238e-13,1.2113168809261738e-47,7.890285006686203e-10,8.584433100510573e-32,9.956597116065363e-19,4.904484812281024e-35,2.4071029036123077e-06,6.978558889001481e-32,0.0003810166461271159,0.0009450682085519121,0.0017191577713198693,0.0009917243763250393,0.00039364196353834413,0.0005366282507560699,0.0008657194140001094,1.8357161713692747e-05,1.001368942229297e-09,0.00014033964418954569,0.00011508238014215278,1.80586883156063e-05
2.4432987202606655e-11,0.09987580875752079,0.0,24.79301279306138,0.030959807276145092,0.31743200378558317,0.3494872419212111,0.20607902727141952,0.09163695951644127,0.0,2.176795546461781e-20,2.4948253274386084e-06,1.7726329775820844e-17,0.0,2.3847469698708603e-27,1.0685434688055238e-07,5.2041174727773885e-20,2.6646967819265665e-21,6.964216215240828e-30,4.282321975315018e-10,1.283237050180941e-13,1.2403960758975102e-47,7.931219305417569e-10,8.707475460297676e-32,1.0146240581818398e-18,5.045638603569157e-35,2.4182021263797006e-06,7.112282671230302e-32,0.0003810163060490197,0.000947244480377887,0.0017296556491851747,0.0009950553930004413,0.000394015243856491,0.0005391772365785052,0.0008703938737290918,1.8621531879525368e-05,1.0073165178387065e-09,0.00014171353901388774,0.00011530298703932815,1.8325190334487624e-05
