Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202)
3.8404353216814607e-10,0.07659248437779444,0.0,18.948456994828334,0.03043685566224095,0.29580878433767777,0.33993065819634016,0.19881369951941763,0.09153570965524462,0.0,1.6526577580664208e-22,2.774621701739073e-07,3.9588397801071557e-19,0.0,2.5252651390964846e-27,0.00013482039975087475,7.474361239253954e-21,1.3130940456468146e-24,4.1434620333969245e-35,1.507165482368357e-10,4.449779905376871e-17,3.3052874276085356e-56,9.654798815838594e-12,2.800448586983129e-38,4.500384458935496e-19,4.131517330027021e-37,1.8457766386028528e-07,1.7537306527029544e-35,0.0004825418633811999,0.010412101534999685,0.025982768560077425,0.010553856481029624,0.0009473149732992208,0.007251205536782068,0.007376332215738623,3.69065866292067e-08,2.826789049839116e-10,0.005812463505260512,0.0006382546009435109
3.856216987441498e-10,0.07659248437779444,0.0,18.94820714950123,0.030436772540056813,0.29573303296830855,0.3399093797565503,0.19878469773662424,0.09153571683393238,0.0,1.6729688796554785e-22,2.7858847475599075e-07,4.01806843523261e-19,0.0,2.5850156677645306e-27,0.00013669711176077514,7.587762062913051e-21,1.3240580932168848e-24,4.1942802353230017e-35,1.5194856283730506e-10,4.467735297002473e-17,3.3732293202652143e-56,9.716113104988041e-12,2.834795178367939e-38,4.568652068924014e-19,4.229204601260577e-37,1.8504071777201262e-07,1.7825404034516504e-35,0.0004825355264792773,0.010431744823447343,0.026106506817995905,0.010575133794514836,0.0009471640313607759,0.007280358260281896,0.0073902085777904246,3.672805147722634e-08,2.846485942589497e-10,0.005854695222160548,0.0006383377231276407
3.8719986532015357e-10,0.07659248437779444,0.0,18.947957587971796,0.030436691259361923,0.29565741426907305,0.33988821352722554,0.19875570098770984,0.09153572400513205,0.0,1.693444893246637e-22,2.797147090193059e-07,4.0779135922895304e-19,0.0,2.64591625698593e-27,0.00013859136626494174,7.702374268881302e-21,1.3350723829129708e-24,4.245508520007242e-35,1.5318552025776767e-10,4.4856880694304146e-17,3.4422796933305006e-56,9.77749044405126e-12,2.8694189333778e-38,4.637648694220676e-19,4.328769735061716e-37,1.855020518433644e-07,1.8117021225335238e-35,0.0004825291967508462,0.010451325704706083,0.026230213024998537,0.010596298897605452,0.0009470131304982476,0.007309505908821912,0.007403936305240066,3.655148042621779e-08,2.8662269906301537e-10,0.005897005310713502,0.0006384190038225361
3.887780318961573e-10,0.07659248437779444,0.0,18.94770831051615,0.030436611782869424,0.2955819279429063,0.33986715892052166,0.19872670927100725,0.0915357311688634,0.0,1.7140864551291578e-22,2.8084087333468046e-07,4.138378659940907e-19,0.0,2.7079839311012836e-27,0.00014050323665702475,7.818205144458442e-21,1.3461370286331323e-24,4.297148475232686e-35,1.544274196378307e-10,4.5036382231152634e-17,3.5124519529217064e-56,9.838929782006666e-12,2.904320925156093e-38,4.707378716585904e-19,4.430240459062308e-37,1.8596167264074968e-07,1.8412186338887135e-35,0.0004825228742034095,0.010470844680658644,0.026353885981155175,0.01061735237814497,0.0009468622707512215,0.007338648484029628,0.007417516043195329,3.637684002818596e-08,2.8860119949918953e-10,0.005939392920993943,0.0006384984803150305
3.903561984721611e-10,0.07659248437779444,0.0,18.947459317402217,0.030436534074043474,0.2955065736935272,0.33984621535166826,0.19869772258485138,0.09153573832514561,0.0,1.7348942215224688e-22,2.8196696807099977e-07,4.1994670448090704e-19,0.0,2.7712358893844515e-27,0.00014243279603901816,7.935261982300408e-21,1.357252145406358e-24,4.349201688071795e-35,1.5567426011737729e-10,4.5215857585114386e-17,3.5837596107497612e-56,9.900430074605053e-12,2.939502226366004e-38,4.777846520955585e-19,4.533644784107881e-37,1.8641958670476866e-07,1.8710927722433615e-35,0.0004825165588442583,0.010490302243971123,0.026477524499294015,0.010638294820903685,0.0009467114521567162,0.007367785987533104,0.007430948441455447,3.6204097653235084e-08,2.905840757588715e-10,0.005981857206817554,0.0006385761891409815
3.9193436504816483e-10,0.07659248437779444,0.0,18.947210608889836,0.030436458097084063,0.2954313512254174,0.3398253822389516,0.19866874092757925,0.09153574547399725,0.0,1.755868848576763e-22,2.8309299359521654e-07,4.2611821514150255e-19,0.0,2.8356895070103157e-27,0.00014438011721998957,8.053552080323354e-21,1.3684178493956953e-24,4.4016697448867254e-35,1.5692604083656677e-10,4.539530676073205e-17,3.6562162845007177e-56,9.961990284366261e-12,2.974963909190693e-38,4.84905649538322e-19,4.639011005791933e-37,1.868758005503174e-07,1.901327383103812e-35,0.00048251025068047243,0.010509698878222314,0.026601127404922303,0.010659126807594706,0.0009465606747493171,0.007396918420960913,0.007444234154377021,3.603322146280739e-08,2.925713081213705e-10,0.006024397325767296,0.0006386521661003933
3.935125316241686e-10,0.07659248437779444,0.0,18.94696218523073,0.03043638381691222,0.29535626024380035,0.33980465900369977,0.1986397642975293,0.09153575261543644,0.0,1.7770109923735887e-22,2.8421895027236084e-07,4.3235273821186e-19,0.0,2.901362336022554e-27,0.0001463452727148464,8.173082741608467e-21,1.3796342579013487e-24,4.4545542313295885e-35,1.581827609358345e-10,4.557472976254682e-17,3.72983569821688e-56,1.002360938057525e-11,3.0107070453334863e-38,4.921013030982526e-19,4.746367705989788e-37,1.8733032066669232e-07,1.9319253227508094e-35,0.0004825039497189217,0.010529035058032089,0.026724693536146836,0.010679848916889936,0.0009464099385613052,0.007426045785942132,0.007457373840741228,3.586418038394761e-08,2.9456287695349926e-10,0.006067012439218832,0.000638726446272236
3.9509069820017234e-10,0.07659248437779444,0.0,18.94671404666856,0.030436311199155488,0.2952813004546205,0.33978404507026555,0.19861079269304202,0.09153575974948075,0.0,1.7983213089264375e-22,2.8534483846555087e-07,4.386506137059419e-19,0.0,2.9682721063014188e-27,0.0001483283347431378,8.293861274307545e-21,1.3909014893637495e-24,4.507856732342731e-35,1.5944441955589222e-10,4.575412659509834e-17,3.80463168267756e-56,1.0085286339277644e-11,3.046732706018048e-38,4.993720521870546e-19,4.855743754392002e-37,1.8778315351769363e-07,1.9628894582337013e-35,0.00048249765596626603,0.010548311249188739,0.026848221743594004,0.010700461724435926,0.0009462592436227756,0.007455168084106306,0.007470368163622274,3.569694408455588e-08,2.965587627091689e-10,0.0061097017123651525,0.0006387990640289665
3.966688647761761e-10,0.07659248437779444,0.0,18.946466193438955,0.0304362402101337,0.2952064715645235,0.3397635398660117,0.19858182611245934,0.09153576687614723,0.0,1.8198004541813228e-22,2.864706585360019e-07,4.4501218140987e-19,0.0,3.0364367265315248e-27,0.00015032937522789172,8.415894991549365e-21,1.4022196633665941e-24,4.561578832158988e-35,1.6071101583772797e-10,4.593349726292478e-17,3.8806181757794573e-56,1.0147020143274652e-11,3.083041961988573e-38,5.067183365111189e-19,4.967168310037279e-37,1.8823430554172954e-07,1.994222667364645e-35,0.0004824913694289571,0.010567527908775302,0.026971710890329636,0.01072096580286969,0.0009461085899617485,0.007484285317083428,0.007483217790257147,3.553148294959262e-08,2.9855894592898675e-10,0.0061524643142404955,0.0006388700530507555
3.9824703135217984e-10,0.07659248437779444,0.0,18.946218625769532,0.030436170816845028,0.295131773280837,0.33974314282129464,0.1985528645541248,0.09153577399545254,0.0,1.8414490840173652e-22,2.8759641084303697e-07,4.5143778087618495e-19,0.0,3.10587428516961e-27,0.00015234846579448698,8.539191211346802e-21,1.4135889006398562e-24,4.615722114301966e-35,1.6198254892260628e-10,4.6112841770562827e-17,3.95780922291667e-56,1.0208809782117485e-11,3.1196358835099563e-38,5.141405960659265e-19,5.080670822844895e-37,1.8868378315191851e-07,2.025927838712814e-35,0.0004824850901132383,0.010586685485294928,0.027095159851778537,0.010741361721834394,0.000945957977604275,0.00751339748650392,0.007495923391916614,3.5367768058199516e-08,3.0056340723985493e-10,0.006195299417743484,0.0006389394463394281
3.998251979281836e-10,0.07659248437779444,0.0,18.945971343879965,0.030436102986952325,0.295057205311551,0.33972285336944913,0.1985239080163834,0.09153578110741287,0.0,1.86326785424736e-22,2.887220957440967e-07,4.579277514181878e-19,0.0,3.176603051412272e-27,0.0001543856777695601,8.663757256504741e-21,1.4250093230627657e-24,4.670288161586297e-35,1.6325901795206812e-10,4.629216012254764e-17,4.0362189773603337e-56,1.0270654252101223e-11,3.1565155403679854e-38,5.216392711304955e-19,5.196281035146605e-37,1.8913159273619234e-07,2.0580078715986124e-35,0.0004824788180251467,0.01060578441879517,0.02721856751564373,0.010761650047995007,0.0009458074065745352,0.007542504593998601,0.007508485643777521,3.5205771161701476e-08,3.025721273545713e-10,0.006238206199659564,0.0006390072762321265
4.0140336450418735e-10,0.07659248437779444,0.0,18.945724347981944,0.03043603668876976,0.29498276736529994,0.3397026709467725,0.1984949564975815,0.0915357882120439,0.0,1.88525742061835e-22,2.8984771359474893e-07,4.64482432104361e-19,0.0,3.248641476163672e-27,0.00015644108217994652,8.789600454528706e-21,1.4364810536667606e-24,4.725278556117919e-35,1.6454042206793095e-10,4.64714523234129e-17,4.115861700637881e-56,1.0332552556258085e-11,3.193682001869509e-38,5.292148022618759e-19,5.314028983217993e-37,1.8957774065739806e-07,2.0904656760878877e-35,0.00048247255317051304,0.010624825140991315,0.027341932781825545,0.010781831345053828,0.0009456568768949306,0.007571606641198677,0.007520905224796363,3.5045464662455445e-08,3.045850870714323e-10,0.006281183840682679,0.0006390735744146924
4.029815310801911e-10,0.07659248437779444,0.0,18.945477638279286,0.03043597189124967,0.2949084591513441,0.3396825949925093,0.19846600999606695,0.09153579530936108,0.0,1.907418438812192e-22,2.909732647486985e-07,4.711021617528691e-19,0.0,3.3220081930031885e-27,0.00015851474975165522,8.916728137534298e-21,1.4480042166384093e-24,4.780694879294336e-35,1.658267604122891e-10,4.665071837769078e-17,4.196751762911937e-56,1.0394503704350236e-11,3.2311363368426314e-38,5.368676302896882e-19,5.433944998809293e-37,1.900222332533999e-07,2.1233041729861475e-35,0.000482466295554963,0.010643808075388627,0.027465254562340363,0.010801906173765953,0.0009455063885861701,0.007600703629735701,0.007533182817584132,3.4886821593512644e-08,3.0660226727383763e-10,0.006324231525436258,0.0006391383719347854
4.0455969765619485e-10,0.07659248437779444,0.0,18.94523121496794,0.030435908563969723,0.2948342803795522,0.33966262494883565,0.1984370685101886,0.09153580239937935,0.0,1.9297515644461166e-22,2.920987495577971e-07,4.777872789261402e-19,0.0,3.396722019153003e-27,0.00016060675090887722,9.045147642157317e-21,1.459578937322302e-24,4.836538711804885e-35,1.6711803212751321e-10,4.6829958289912003e-17,4.278903643358841e-56,1.0456506712861996e-11,3.2688796136368804e-38,5.445981963107096e-19,5.556059710675609e-37,1.904650768371803e-07,2.1565262938327814e-35,0.0004824600451839183,0.010662733637403651,0.02758853178123921,0.010821875091954685,0.0009453559416673522,0.007629795561241565,0.007545319108282445,3.4729815599062184e-08,3.0862364892989634e-10,0.006367348442493467,0.0006392016992147312
