Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216)
6.358757892611995e-09,0.06662394546715897,0.0,16.092264549659472,0.02933271181885933,0.15681020217292743,0.3015953794304681,0.12084517715711193,0.2034583521558369,0.0,1.0396370035798297e-17,1.4367422202071414e-07,5.088595620499332e-19,0.0,1.1651344908169949e-25,0.022037295423394276,1.4377953154357096e-20,5.671074147063223e-25,1.426148022950335e-37,4.95483199389856e-10,4.906679905296346e-19,5.794153300366412e-60,9.081238264175409e-13,1.9643692940936442e-41,1.792457144279195e-18,5.742804975545332e-37,1.0650149353706533e-08,3.150836115431028e-36,0.0013020304788770724,0.036005759908143045,0.13230695918350124,0.048889269034850365,0.001046744433115451,0.0851202980945045,0.005515986837654763,2.7802365248554494e-05,2.822223905101056e-10,0.0059844025551831544,0.0017423984443251477,0.0993071513951096,0.0023234736850410317,0.015786178725115254,0.015102654695442086
6.3800865638287205e-09,0.06662394546715897,0.0,16.091622198302456,0.02933277921215626,0.15655376412577737,0.30159434194313006,0.12063518759346842,0.20379694429369943,0.0,1.0396292356328013e-17,1.441436159089846e-07,5.131980349716326e-19,0.0,1.184219197056132e-25,0.022125739709580382,1.4516852678371695e-20,5.729188941001327e-25,1.4388116314836013e-37,4.985177497643919e-10,4.919180951675281e-19,5.882096309221067e-60,9.097156199284403e-13,1.9818125117245539e-41,1.809726865673167e-18,5.833543841280579e-37,1.0650461343104493e-08,3.1897204766203074e-36,0.0013041270905186735,0.03595366391811617,0.13240947870176445,0.04889030605279446,0.0010448831735765849,0.08533214891465234,0.005505083286930484,2.7724860527898536e-05,2.82977393531087e-10,0.005972464848188619,0.0017423310510282144,0.09958733852390253,0.00231423820348015,0.015837366890463007,0.015182305677187195
6.401415235045446e-09,0.06662394546715897,0.0,16.090981361578056,0.029332846442402857,0.15629789710399264,0.30159335630518275,0.12042558411478248,0.20413479948179408,0.0,1.0396147686462219e-17,1.446130082230262e-07,5.175582754974208e-19,0.0,1.203550306619836e-25,0.022214101992576694,1.4656610302148818e-20,5.787670159134105e-25,1.4515397113684144e-37,5.015598363198422e-10,4.931660275936264e-19,5.971044323285727e-60,9.113037380602609e-13,1.999344540239079e-41,1.8271026692089594e-18,5.925388332831501e-37,1.0650775750651043e-08,3.228942010315928e-36,0.0013062190627501074,0.035901602769303945,0.1325114377639075,0.04889129122134953,0.0010430255053475346,0.08554361005852525,0.005494212775093274,2.7647768587587273e-05,2.837311844149998e-10,0.005960558805636773,0.001742263820781618,0.09986692935354763,0.0023050733284045045,0.015888480785050164,0.015261944899241315
6.422743906262172e-09,0.06662394546715897,0.0,16.09034203250427,0.029332913510390968,0.15604259843956605,0.3015924214512039,0.12021636594549734,0.20447192046441806,0.0,1.0395936863372996e-17,1.450823990427042e-07,5.219403154908563e-19,0.0,1.2231301495671593e-25,0.02230238170169948,1.4797228271853685e-20,5.84651844089005e-25,1.4643323138550473e-37,5.04609445195418e-10,4.94411791801267e-19,6.061004890486782e-60,9.128881953370261e-13,2.0169654503049313e-41,1.8445848266025873e-18,6.018347857567633e-37,1.0651092515769881e-08,3.2685023433932894e-36,0.0013083064123911765,0.03584957731939187,0.13261284075200447,0.04889222560593757,0.0010411714203186191,0.08575468230978969,0.005483375152663481,2.7571085905195396e-05,2.844837660031797e-10,0.005948684443973467,0.0017421967527934967,0.10014592587503457,0.002295978245575081,0.015939520361242413,0.015341571254285003
6.444072577478897e-09,0.06662394546715897,0.0,16.089704204161556,0.029332980416905078,0.15578786549227494,0.30159153633647273,0.12000753231195588,0.20480830997015395,0.0,1.0395660711518328e-17,1.455517884462417e-07,5.26344186716201e-19,0.0,1.24296106988003e-25,0.022390578274285693,1.4938708829993123e-20,5.905734420358544e-25,1.477189489549187e-37,5.076665625582003e-10,4.956553917757684e-19,6.151985582405939e-60,9.14469006211097e-13,2.0346753117021378e-41,1.8621736090839847e-18,6.112431866504195e-37,1.0651411579026638e-08,3.3084031032847716e-36,0.0013103891561745506,0.035797588407090734,0.13271369201451927,0.048893110251279355,0.0010393209104070308,0.08596536645018561,0.005472570270347606,2.7494808992084665e-05,2.8523514111935595e-10,0.005936841775064036,0.0017421298462793966,0.10042433007042419,0.002286952152105422,0.01599048557591899,0.015421183645237438
6.465401248695623e-09,0.06662394546715897,0.0,16.089067869692023,0.029333047162722295,0.1555336956492564,0.30159069993657084,0.11979908244239336,0.20514397071192153,0.0,1.0395320042874257e-17,1.460211765102516e-07,5.307699208389436e-19,0.0,1.2630454254956832e-25,0.02247869115562646,1.5081054215421117e-20,5.965318726307401e-25,1.4901112884150783e-37,5.107311746030697e-10,4.968968314944481e-19,6.243993994191256e-60,9.1604618506332e-13,2.0524741933273773e-41,1.879869287397757e-18,6.207649854301237e-37,1.0651732882109267e-08,3.348645917962494e-36,0.0013124673107458723,0.035745636852520656,0.13281399586646928,0.048893946181793255,0.0010374739675566604,0.0861756632595339,0.0054617979790642064,2.7418934393171873e-05,2.859853125698934e-10,0.005925030806328568,0.0017420631004621747,0.1007021439128182,0.002277994256289572,0.016041376390382313,0.015500780985205864
6.486729919912349e-09,0.06662394546715897,0.0,16.08843302229871,0.029333113748612565,0.1552800863245903,0.3015899112469909,0.11959101556693039,0.20547890538703117,0.0,1.0394915657162245e-17,1.4649056330976812e-07,5.352175494263211e-19,0.0,1.2833855883390182e-25,0.022566719798900507,1.5224266663344423e-20,6.025271982200492e-25,1.5030977597786585e-37,5.138032675526397e-10,4.981361149266444e-19,6.337037744468032e-60,9.17619746203173e-13,2.0703621631982898e-41,1.897672131803927e-18,6.304011359262272e-37,1.0652056367808724e-08,3.389232415921167e-36,0.0013145408926638923,0.03569372345758683,0.13291375658959034,0.04889473440198631,0.0010356305837379213,0.08638557351574348,0.005451058129968824,2.7343458686671015e-05,2.8673428314403057e-10,0.005913251540873999,0.0017419965145719057,0.10097936936633246,0.002269103777432582,0.016092192770268916,0.015580362197434864
6.508058591129074e-09,0.06662394546715897,0.0,16.087799655244826,0.029333180175338685,0.15502703495889006,0.3015891692827537,0.11938333091756578,0.2058131166772396,0.0,1.0394448342071824e-17,1.469599489182773e-07,5.396871039478321e-19,0.0,1.3039839443548744e-25,0.022654663665107475,1.536834840532824e-20,6.085594806215474e-25,1.5161489523306747e-37,5.168828276571869e-10,4.993732460337336e-19,6.431124475249498e-60,9.191897038689152e-13,2.088339288457774e-41,1.9155824120786954e-18,6.401525963332416e-37,1.0652381979999869e-08,3.4301642261610604e-36,0.0013166099184006572,0.03564184900634765,0.13301297843250304,0.04889547589683783,0.001033790750947583,0.08659509799481886,0.0054403505744779375,2.7268378483842324e-05,2.874820556141137e-10,0.005901503977623176,0.001741930087845788,0.10125600838607299,0.002260279945683578,0.01614293468546178,0.01565992621525548
6.5293872623458e-09,0.06662394546715897,0.0,16.08716776185303,0.029333246443656417,0.15477453901890015,0.30158847307803155,0.11917602772816956,0.20614660724880718,0.0,1.0393918873478647e-17,1.474293334077471e-07,5.441786157757497e-19,0.0,1.3248428935402379e-25,0.022742522223001407,1.551330166930188e-20,6.146287811261629e-25,1.5292649141297938e-37,5.199698411945853e-10,5.006082287691518e-19,6.526261851847351e-60,9.207560722277367e-13,2.1064056353782623e-41,1.933600397515205e-18,6.5002032920960105e-37,1.0652709663622724e-08,3.471442978171037e-36,0.0013186744043416716,0.03559001426537484,0.13311166561088036,0.04889617163217561,0.0010319544612085979,0.0868042374708671,0.005429675164292015,2.7193690428754816e-05,2.8822863273582734e-10,0.005889788111440875,0.0017418638195280537,0.10153206291811523,0.002251522001871275,0.016193602110003886,0.015739471982034122
6.550715933562526e-09,0.06662394546715897,0.0,16.086537335504655,0.029333312554314588,0.15452259599710136,0.3015878216857788,0.11896910523447594,0.20647937975255684,0.0,1.0393328015658073e-17,1.4789871684865694e-07,5.486921161856258e-19,0.0,1.3459648499763642e-25,0.022830294949024044,1.565912867956452e-20,6.207351604997775e-25,1.5424456926056926e-37,5.230642944702374e-10,5.018410670784118e-19,6.62245756278211e-60,9.223188653759063e-13,2.1245612693659814e-41,1.951726356924305e-18,6.60005301477377e-37,1.0653039364663917e-08,3.513070301911718e-36,0.0013207343667860636,0.03553821998410625,0.13320982230761677,0.048896822555044975,0.001030121706569937,0.0870129927161049,0.0054190317514176385,2.711939119802626e-05,2.8897401724841937e-10,0.005878103933256897,0.0017417977088698784,0.10180753489948623,0.0022428291973419804,0.016244195022013214,0.015818998451121353
6.572044604779251e-09,0.06662394546715897,0.0,16.085908369639053,0.029333378508055175,0.1542712034113228,0.3015872141773708,0.11876256267407659,0.20681143682393532,0.0,1.0392676521494323e-17,1.4836809931002677e-07,5.532276363567956e-19,0.0,1.3673522418608358e-25,0.02291798132723837,1.5805831656791014e-20,6.268786789850276e-25,1.5556913345621403e-37,5.26166173817008e-10,5.030717648991246e-19,6.719719319693323e-60,9.238780973389256e-13,2.142806254965193e-41,1.9699605586353315e-18,6.701084844219424e-37,1.0653371030138457e-08,3.5550478277987306e-36,0.0013227898219468131,0.03548646689519111,0.1333074526729983,0.04889742959407053,0.001028292479106425,0.08722136450086589,0.005408420188188778,2.704547750056451e-05,2.897182118749239e-10,0.005866451430186243,0.0017417317551292927,0.10208242625814955,0.0022342007938000695,0.016294713403598914,0.01589850458580051
