Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204)
2.514304160887698e-09,0.05435919745378708,0.0,13.183272500716999,0.031075110263184432,0.19458120717995372,0.2685072013816795,0.1667802460846218,0.0911067124773807,0.0,7.495600837933243e-31,1.304504737445016e-10,2.4753558759542925e-26,0.0,1.6726693871778495e-35,0.0006914971249047808,1.5235116361353839e-27,3.408312382711673e-33,2.419310957321838e-49,5.343162987650318e-14,8.389217263953963e-25,6.764218148674525e-79,1.4233375072781027e-16,2.642499291014195e-54,6.927517157606907e-25,1.97387880158411e-49,1.3045021635809082e-10,2.442447216354344e-47,0.0009114830633255819,0.09280088146745125,0.0661667045756922,0.08197759062741014,0.004709868499094399,0.03552210559644526,0.032027593228949956
2.5329015728387263e-09,0.05435919745378708,0.0,13.18157531330447,0.031075110263184432,0.19393944330110183,0.26803425891609556,0.16655408892477694,0.09110682881646984,0.0,7.652441787259358e-31,1.312957157817658e-10,2.538471453104128e-26,0.0,1.745030309150247e-35,0.000704062103186581,1.5671811612775297e-27,3.490837144026315e-33,2.4708138647344204e-49,5.419362013471257e-14,8.445521428630135e-25,7.007853528286349e-79,1.4420310435593564e-16,2.698753495722158e-54,7.126028998143651e-25,2.059691722708282e-49,1.3129544980617356e-10,2.5129190066900347e-47,0.0009113667242364525,0.09329426400882512,0.06652314482387657,0.08245053309214881,0.004702836791670075,0.03575529446371367,0.03217597456642799
2.5514989847897543e-09,0.05435919745378708,0.0,13.17988531612232,0.031075110263184432,0.19330096282163137,0.2675629573370766,0.16632829321179457,0.09110694466300918,0.0,7.811313382735088e-31,1.3213947030244695e-10,2.6028274329631856e-26,0.0,1.8199369894489702e-35,0.0007167356871555929,1.6117573155066079e-27,3.574981388694529e-33,2.5230076131492698e-49,5.496059217210405e-14,8.501749253042331e-25,7.258318436560716e-79,1.4609190719720812e-16,2.755762273838547e-54,7.328660106702159e-25,2.1485441131181312e-49,1.321391955259115e-10,2.5848697051861616e-47,0.0009112508776971079,0.09378567482075209,0.06687768008193894,0.08292183467032403,0.004695819746196353,0.035988107222169025,0.032323044233971525
2.5700963967407824e-09,0.05435919745378708,0.0,13.178202479998472,0.031075110263184432,0.19266574954593235,0.26709329063910714,0.1661028580662647,0.09110706001899181,0.0,7.972225080534139e-31,1.3298174246703054e-10,2.668442470320583e-26,0.0,1.897458459411773e-35,0.0007295173197193427,1.6572517060119774e-27,3.660767757935847e-33,2.5758958591956685e-49,5.5732537957036657e-14,8.557900859147115e-25,7.51574958507018e-79,1.4800028603207899e-16,2.8135296193361635e-54,7.535463160980819e-25,2.240519203074524e-49,1.3298145867453605e-10,2.6583186452713334e-47,0.000911135521714496,0.09427512604737671,0.0672303164434145,0.08339150136745124,0.004688817314198219,0.03622054479969624,0.03246880628304589
2.5886938086918104e-09,0.05435919745378708,0.0,13.17652677575923,0.031075110263184432,0.19203378734261167,0.26662525284079774,0.16587778261260347,0.09110717488641096,0.0,8.13518628063694e-31,1.3382253741711874e-10,2.73533541660472e-26,0.0,1.9776650609233255e-35,0.0007424064351458492,1.7036759923088718e-27,3.7482189993369685e-33,2.629482242329818e-49,5.650944947766786e-14,8.61397636860461e-25,7.780285299837272e-79,1.4992836537146518e-16,2.872059507430579e-54,7.746491074864582e-25,2.335701827820388e-49,1.3382224439038116e-10,2.7332852538743856e-47,0.0009110206542953751,0.0947626296883235,0.06758106009562467,0.08385953916491981,0.004681829447170976,0.03645260812038395,0.03261326484541978
2.6072912206428385e-09,0.05435919745378708,0.0,13.174858174231188,0.031075110263184432,0.1914050601444073,0.2661588379847786,0.16565306597901183,0.09110728926725989,0.0,8.300206327222458e-31,1.3466186027550576e-10,2.80352531981724e-26,0.0,2.0606284602892907e-35,0.0007554024592940076,1.751041885907921e-27,3.837357964424319e-33,2.6837703848961924e-49,5.729131874187263e-14,8.669975902779782e-25,8.052065525809729e-79,1.5187626745120616e-16,2.9313558946471424e-54,7.961796996911764e-25,2.4341784450971527e-49,1.3466155779295973e-10,2.8097890508732113e-47,0.0009109062734464427,0.09524819760047071,0.06792991731754464,0.08432595402009968,0.004674856096604236,0.03668429810454152,0.032756424131476926
2.6258886325938666e-09,0.05435919745378708,0.0,13.173196646243095,0.031075110263184432,0.19077955194810398,0.2656940401375931,0.16542870729743764,0.09110740316353189,0.0,8.467294509057356e-31,1.354997161462538e-10,2.8730314244291833e-26,0.0,2.146421662126252e-35,0.000768504809842011,1.799361149986991e-27,3.9282076062381295e-33,2.738763892188652e-49,5.807813777716277e-14,8.725899582743713e-25,8.331231831261498e-79,1.5384411222731467e-16,2.9914227188877494e-54,8.181434308851485e-25,2.5360371526864553e-49,1.354994039830393e-10,2.887849648546085e-47,0.0009107923771744677,0.09573184149971517,0.06827689447768334,0.08479075186644733,0.004667897214003379,0.03691561566871577,0.03289828842853581
2.6444860445448946e-09,0.05435919745378708,0.0,13.171542162627775,0.031075110263184432,0.19015724681444923,0.26523085338959246,0.1652047057035393,0.09110751657721994,0.0,8.636460059882515e-31,1.363361101147678e-10,2.9438731712397684e-26,0.0,2.2351190232669213e-35,0.0007817128965137804,1.848645599065321e-27,4.02079097690867e-33,2.7944663525113242e-49,5.88698986306066e-14,8.78174752927487e-25,8.617927412120107e-79,1.5583201737200773e-16,3.052263899497315e-54,8.405456624091617e-25,2.641367705976302e-49,1.3633578804271774e-10,2.9674867510254246e-47,0.0009106789634864167,0.09621357296272742,0.06862199803197597,0.08525393861361147,0.0046609527509087504,0.03714656172570795,0.033038862099178265
2.6630834564959227e-09,0.05435919745378708,0.0,13.16989469422397,0.031075110263184432,0.18953812886807098,0.2647692718548307,0.1649810603366519,0.0911076295103168,0.0,8.807712158796923e-31,1.3717104724787064e-10,3.0160701971983043e-26,0.0,2.3267962666800926e-35,0.0007950261213033718,1.898907098679958e-27,4.11513122523534e-33,2.850881337239244e-49,5.966659336874918e-14,8.837519862860343e-25,8.912297096220869e-79,1.5784009827050248e-16,3.1138833373300284e-54,8.633917786237226e-25,2.7502615355508443e-49,1.371707150354983e-10,3.0487201537540254e-47,0.0009105660303895859,0.09669340342869713,0.06896523452168944,0.08571552014753837,0.004654022658912841,0.03737713718459042,0.03317814957958685
2.6816808684469508e-09,0.05435919745378708,0.0,13.168254211878201,0.031075110263184432,0.18892218229739483,0.2643092896709592,0.16475777033975528,0.09110774196481465,0.0,8.981059930639001e-31,1.380045325938775e-10,3.089642335189706e-26,0.0,2.421530495404813e-35,0.0008084438786973353,1.9501575650644487e-27,4.2112515942692314e-33,2.908012400878755e-49,6.046821407753273e-14,8.893216703697078e-25,9.214487347488462e-79,1.5986846801856433e-16,3.176284914815321e-54,8.866871867619373e-25,2.862811764802987e-49,1.3800419000636468e-10,3.131569742943704e-47,0.0009104535758917263,0.09717134420106828,0.0693066105713412,0.08617550233057636,0.004647106889675639,0.037607342950723495,0.03331615537789188
