Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526)
3.642259169368157e-09,0.04692242069448014,0.0,11.235414838618683,0.031075110263184432,0.15926818342272592,0.23902100882796695,0.15042008121757885,0.09063828252958431,0.0,1.719877830460354e-36,8.097795200409436e-13,2.53964204932631e-31,0.0,1.241576547904452e-42,0.0004182369836683544,2.8876895026785872e-33,2.1602174632951768e-38,2.813982790273455e-58,1.773445423032369e-16,2.0550682613543356e-29,4.448404522932277e-93,1.2593026845626885e-19,3.83173748521596e-64,4.0196695991124864e-30,6.397967123111792e-59,1.12154943023779e-13,4.5789366080405744e-55,0.0013799129996357063,0.1219394857318837,0.08584488608188545,0.11146378331076262,0.012544585642348212,0.044047553320287584,0.033770218726039955,1.2183488362087653e-11,1.6869093601791755e-15,0.004431793995703344
3.6584607348648865e-09,0.04692242069448014,0.0,11.23410105987887,0.031075110263184432,0.15879498646348014,0.23862785247376506,0.15026808817274562,0.09063844169623941,0.0,1.740862154232053e-36,8.127400547679716e-13,2.572926752563297e-31,0.0,1.2676315519556221e-42,0.00042277506530235154,2.9228832765281592e-33,2.1909697207232408e-38,2.8491779810577896e-58,1.7883549927260088e-16,2.0630802811773353e-29,4.54249548144664e-93,1.2651911359195205e-19,3.879662041448609e-64,4.068641043258137e-30,6.533419748262159e-59,1.1199132561695286e-13,4.656767640789098e-55,0.001379753833028376,0.12230670376020525,0.08614047763007379,0.11185693966496156,0.012530605729166738,0.04421352627830224,0.03384348183439899,1.213883062426152e-11,1.6924130962876668e-15,0.00446450981826855
3.674662300361616e-09,0.04692242069448014,0.0,11.232790453945684,0.031075110263184432,0.1583233719302159,0.23823545735231133,0.15011629041271146,0.09063860047893177,0.0,1.7619997871073826e-36,8.156957205370387e-13,2.6064886481101587e-31,0.0,1.2940993117439622e-42,0.0004273377921948738,2.958320680461328e-33,2.2220818728142092e-38,2.884647459767543e-58,1.8033206017322016e-16,2.071084206310792e-29,4.6381310039710705e-93,1.2710785221859805e-19,3.927960090783862e-64,4.117951166118083e-30,6.6710514631663585e-59,1.1182777929317341e-13,4.735556726341429e-55,0.001379595050383382,0.12267278471685104,0.08643543493119865,0.11224933478641227,0.012516636951462422,0.04437929281604072,0.033916232770417096,1.2094574600024687e-11,1.6978924740607349e-15,0.004497292458868892
3.690863865858346e-09,0.04692242069448014,0.0,11.231483011479172,0.031075110263184432,0.15785333423861436,0.23784382181165659,0.1499646872313826,0.09063875887879028,0.0,1.783291033606528e-36,8.18646526774359e-13,2.6403286379009486e-31,0.0,1.3209841751524913e-42,0.0004319251236183634,2.994001983247551e-33,2.253557013686849e-38,2.9203920123762637e-58,1.8183421803777217e-16,2.0790800471427975e-29,4.735329042227344e-93,1.2769647987933077e-19,3.976632703481015e-64,4.167600336905805e-30,6.810885962874e-59,1.1166430938051616e-13,4.815311098177727e-55,0.0013794366505718557,0.12303773275834876,0.08672975938398543,0.11264097032706409,0.01250267962399119,0.044544853324840816,0.03398847346374412,1.2050714995932694e-11,1.7033475993330615e-15,0.004530141415645703
3.7070654313550755e-09,0.04692242069448014,0.0,11.230178723179229,0.031075110263184432,0.1573848678253681,0.23745294420420046,0.14981327793580412,0.09063891689693894,0.0,1.8047361959939675e-36,8.21592482885695e-13,2.6744476199676325e-31,0.0,1.3482905108727648e-42,0.00043653701831119135,3.029927449726464e-33,2.2853982481527683e-38,2.9564124219928624e-58,1.8334196591212977e-16,2.087067814024163e-29,4.834107667243481e-93,1.2828499211490007e-19,4.025680945898697e-64,4.2175889193538324e-30,6.952947068314257e-59,1.11500921047968e-13,4.89603800790726e-55,0.00137927863246976,0.12340155202318936,0.08702345238579605,0.11303184793451733,0.012488734049896298,0.04471020819451419,0.034060205838985766,1.2007246610826078e-11,1.7087785777312711e-15,0.004563056188809627
3.723266996851805e-09,0.04692242069448014,0.0,11.228877579785122,0.031075110263184432,0.1569179671480939,0.23706282288667635,0.1496620618457671,0.09063907453449706,0.0,1.826335574288996e-36,8.245335982564126e-13,2.708846488429817e-31,0.0,1.3760227083391819e-42,0.0004411734344841482,3.0660973408277663e-33,2.317608691625031e-38,2.992709468869081e-58,1.8485529685531044e-16,2.0950475172691153e-29,4.934485069468809e-93,1.288733844640277e-19,4.0751058805050405e-64,4.267917271741533e-30,7.097258726064027e-59,1.1133761930989028e-13,4.977744725181208e-55,0.0013791209949578333,0.12376424663191556,0.08731651533262698,0.11342196925203843,0.012474800521082678,0.04487535781336481,0.03413143181570955,1.1964164333783604e-11,1.714185514665355e-15,0.004596036280633911
3.739468562348535e-09,0.04692242069448014,0.0,11.227579572074992,0.031075110263184432,0.15645262668524496,0.23667345622013689,0.14951103829342835,0.09063923179257917,0.0,1.848089466276205e-36,8.274698822515338e-13,2.743526133484616e-31,0.0,1.4041851776629086e-42,0.0004458343298268883,3.102511913590939e-33,2.350191470026722e-38,3.029283930406956e-58,1.8637420393942517e-16,2.1030191671559625e-29,5.036479558886799e-93,1.2946165246375012e-19,4.1249085658878456e-64,4.318585746922666e-30,7.243845008113504e-59,1.1117440903035634e-13,5.060438537605809e-55,0.001378963736921531,0.1241258206872096,0.0876089496191064,0.113811335918575,0.012460879318579397,0.045040302568206826,0.03420215330845056,1.192146314223483e-11,1.7195685153204275e-15,0.004629081195447749
3.755670127845265e-09,0.04692242069448014,0.0,11.226284690865421,0.031075110263184432,0.15598884093602491,0.23628484256993862,0.14936020662294205,0.09063938867229514,0.0,1.8699981675159137e-36,8.304013442157908e-13,2.778487441396647e-31,0.0,1.4327823495654215e-42,0.00045051966151432804,3.139171421184784e-33,2.383149719699465e-38,3.066136581166262e-58,1.8789868024962852e-16,2.1109827739277435e-29,5.140109565125705e-93,1.3004979164975758e-19,4.175090056764716e-64,4.369594692352695e-30,7.392730111629115e-59,1.1101129492736714e-13,5.14412675065576e-55,0.0013788068572509634,0.12448627827398108,0.08790075663849174,0.11419994956877032,0.012446970712890526,0.04520504284438202,0.034272372226717265,1.1879138099970618e-11,1.7249276846488193e-15,0.004662190439629611
3.7718716933419946e-09,0.04692242069448014,0.0,11.224992927010927,0.031075110263184432,0.15552660442030108,0.2358969803057275,0.14920956619010295,0.09063954517475029,0.0,1.8920619713545588e-36,8.333279934736782e-13,2.813731294488159e-31,0.0,1.4618186753116814e-42,0.00045522938621299846,3.1760761129267966e-33,2.4164865873119093e-38,3.1032681928719467e-58,1.8942871888406944e-16,2.1189383477928582e-29,5.2453936375669735e-93,1.3063779755673085e-19,4.225651403993176e-64,4.42094445011586e-30,7.543938358713943e-59,1.1084828157694809e-13,5.228816687587953e-55,0.0013786503548408459,0.12484562345945373,0.08819193778266625,0.1145878118329785,0.012433074964334922,0.04536957902577675,0.03434209047499745,1.183718435541653e-11,1.7302631273624858e-15,0.004695363521600613
3.788073258838724e-09,0.04692242069448014,0.0,11.223704271403566,0.031075110263184432,0.1550659116785191,0.23550986780142416,0.14905911636200103,0.09063970130104539,0.0,1.9142811689350404e-36,8.362498393295071e-13,2.8492585711292967e-31,0.0,1.4912986266429383e-42,0.0004599634600873519,3.213226234302393e-33,2.450205229768187e-38,3.1406795344215425e-58,1.9096431295384205e-16,2.1268858989256793e-29,5.352350445451498e-93,1.3122566571867358e-19,4.276593654580765e-64,4.4726353569520446e-30,7.69749419616555e-59,1.106853734171308e-13,5.314515689355471e-55,0.0013784942285904392,0.1252038602932519,0.08848249444213575,0.11497492433727897,0.0124191923233751,0.045533911494838514,0.03441130995276398,1.1795597139644631e-11,1.7355749479257301e-15,0.004728599951817898
3.804274824335454e-09,0.04692242069448014,0.0,11.22241871497248,0.031075110263184432,0.15460675727161713,0.2351235034352092,0.14890885651668678,0.0906398570522766,0.0,1.9366560492070157e-36,8.391668910674581e-13,2.885070145728496e-31,0.0,1.5212266957091765e-42,0.0004647218388060231,3.250622026983956e-33,2.4843088141163425e-38,3.1783713718925678e-58,1.9250545558293747e-16,2.1348254374671427e-29,5.460998777983681e-93,1.3181339166924242e-19,4.327917851695125e-64,4.524667744283399e-30,7.853422195231341e-59,1.1052257475182286e-13,5.401231114521906e-55,0.0013783384774035015,0.12556099280748698,0.08877242800602472,0.11536128870349102,0.012405323030935706,0.0456980406325921,0.03448003255448075,1.1754371764891899e-11,1.7408632505482205e-15,0.004761899242768023
3.8204763898321835e-09,0.04692242069448014,0.0,11.221136248683472,0.031075110263184432,0.1541491357809414,0.23473788558950878,0.14875878604284748,0.09064001242953583,0.0,1.959186898937157e-36,8.420791579516328e-13,2.9211668887230238e-31,0.0,1.5516073950011972e-42,0.0004695044775480456,3.2882637288497474e-33,2.518800517456751e-38,3.216344468549916e-58,1.9405213990819592e-16,2.1427569735253266e-29,5.571357544433332e-93,1.3240097094207355e-19,4.3796250346740406e-64,4.577041938240778e-30,8.01174705136138e-59,1.1035988975456868e-13,5.488970339175956e-55,0.001378183100188232,0.12591702501684265,0.08906173986207239,0.11574690654918851,0.012391467318711831,0.04586196681865532,0.034548260169608457,1.1713503622424526e-11,1.746128139178301e-15,0.004795260908960383
3.836677955328913e-09,0.04692242069448014,0.0,11.21985686353863,0.031075110263184432,0.15369304180816123,0.2343530126509801,0.14860890433949275,0.09064016743391043,0.0,1.981874002719363e-36,8.449866492261079e-13,2.957549666569643e-31,0.0,1.5824452572823586e-42,0.0004743113310090229,3.326151574002679e-33,2.55368352685052e-38,3.2545995848532214e-58,1.9560435907925964e-16,2.1506805171760064e-29,5.6834457742354244e-93,1.329883990711062e-19,4.43171623903549e-64,4.629758259689963e-30,8.172493583958779e-59,1.101973224722047e-13,5.5777407568463144e-55,0.001378028095857226,0.12627196091866036,0.08935043139662853,0.1161317794877143,0.012377625409467484,0.04602569043125435,0.034615994682610625,1.1672988181526098e-11,1.7513697174965806e-15,0.004828684466920629
3.852879520825643e-09,0.04692242069448014,0.0,11.218580550575881,0.031075110263184432,0.15323846997518553,0.23396888301049698,0.1484592108156513,0.09064032206648344,0.0,2.0047176429849232e-36,8.478893741149863e-13,2.994219341735423e-31,0.0,1.613744835519961e-42,0.00047914235340725485,3.364285792788928e-33,2.588961039227902e-38,3.29313747846422e-58,1.9716210625852593e-16,2.1585960784632e-29,5.797282617087709e-93,1.3357567159090315e-19,4.484192496487654e-64,4.682817024257685e-30,8.33568673612759e-59,1.1003487682841196e-13,5.667549778416859e-55,0.0013778734633274215,0.12662580449302388,0.0896385039946489,0.11651590912819454,0.012363797517324582,0.04618921184723869,0.03468323797295934,1.1632820986822012e-11,1.7565880889097948e-15,0.004862169435184134
3.8690810863223725e-09,0.04692242069448014,0.0,11.217307300868647,0.031075110263184432,0.1527854149240786,0.23358549506313545,0.14830970489007608,0.0906404763283337,0.0,2.027718100012639e-36,8.507873418224502e-13,3.0311767726886896e-31,0.0,1.6455107028162934e-42,0.0004839974984898198,3.4026666118164236e-33,2.624636261296683e-38,3.331958904254086e-58,1.9872537462110088e-16,2.16650366739969e-29,5.912887343046192e-93,1.3416278403696774e-19,4.537054834938906e-64,4.736218542357469e-30,8.501351574418338e-59,1.0987255662716865e-13,5.7584048320421234e-55,0.0013777192015200562,0.1269785597028436,0.08992595903969049,0.1168992970755531,0.012349983848042766,0.046352531442095724,0.034749991915141304,1.1592997658389895e-11,1.7617833565449292e-15,0.0048957153342894365
