Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88)
2.1010111476239116e-09,0.054791484931128634,0.0,0.013337623260735615,0.031075110263184432,0.31927383597812053,0.3504051940833947,0.20700671907044424,0.09201729023563274,0.0,1.0695062932162916e-30,1.6259241218634828e-10,1.4094484101981357e-28,0.0,1.4967380564919193e-59,2.8105279026670675e-07,1.6952165743905455e-51,4.2195056329385454e-33,4.954833067524577e-49,7.085780168938941e-38,1.3560407075911242e-24,1.9725042087113743e-78,9.237321925292451e-19,6.013150935244747e-54,7.294599503548139e-49,2.2839412302895822e-73,1.6120212805402835e-10,1.64351510341243e-62,9.053062220825381e-07,9.892033649818985e-05,4.525224070935227e-05,7.959789355258291e-05,5.501109771018005e-06,2.8036774966780835e-05,2.416104885932716e-13,8.888785702011235e-06,1.067756933914272e-12
2.107036301063442e-09,0.054791484931128634,0.0,0.01333690399095485,0.031075110263184432,0.31927347021668934,0.3504049848971077,0.20700671936858187,0.09201729028447574,0.0,1.0787333789542627e-30,1.630586333487504e-10,1.4259950328383427e-28,0.0,1.5269946162249162e-59,2.83680380319513e-07,1.719604829001462e-51,4.243747952337484e-33,4.9975828642093704e-49,7.146782306275289e-38,1.3599294723662784e-24,2.0009499755992823e-78,9.298026787613363e-19,6.065031766575875e-54,7.399527675167742e-49,2.3301114088499355e-73,1.6166039972174454e-10,1.66248304824637e-62,9.052573878240835e-07,9.918265645428344e-05,4.539691021696616e-05,7.980707937336041e-05,5.500811633370873e-06,2.8093733214382008e-05,2.408146688251597e-13,8.935268923385944e-06,1.0738711571523204e-12
2.113061454502972e-09,0.054791484931128634,0.0,0.013336184957719207,0.031075110263184432,0.31927310459449854,0.3504047758140864,0.20700671966664852,0.09201729033330273,0.0,1.0880133804407126e-30,1.635248542328945e-10,1.4426973187324122e-28,0.0,1.5577736457073616e-59,2.863247698510568e-07,1.7442726312085022e-51,4.268059804404783e-33,5.040577850361208e-49,7.208132795516722e-38,1.36381823714696e-24,2.029722976387058e-78,9.359040984696634e-19,6.117210157734217e-54,7.505658303863438e-49,2.3770788621557225e-73,1.621186486509572e-10,1.6816149006082907e-62,9.052085695840273e-07,9.944488939781513e-05,4.554158559863005e-05,8.001616192837272e-05,5.500513566727665e-06,2.8150547533244834e-05,2.400239145232004e-13,8.981843845633583e-06,1.0800027300150329e-12
2.1190866079425023e-09,0.054791484931128634,0.0,0.01333546616155542,0.031075110263184432,0.3192727391115555,0.35040456683428217,0.20700671996464323,0.09201729038211369,0.0,1.0973464489418662e-30,1.6399107483891805e-10,1.4595564368644707e-28,0.0,1.5890826352505996e-59,2.889860130368603e-07,1.7692223715902868e-51,4.2924411905728654e-33,5.083818727108099e-49,7.269832619803646e-38,1.3677070019331677e-24,2.0588260263100247e-78,9.420366112838533e-19,6.169686959600665e-54,7.613001668696666e-49,2.4248550204288114e-73,1.6257687484348935e-10,1.7009116048491441e-62,9.051597673982526e-07,9.970703553451087e-05,4.568626628516736e-05,8.022514126645571e-05,5.500215572044673e-06,2.8207217957952843e-05,2.3923824413451276e-13,9.028510221049623e-06,1.0861516516041453e-12
2.1251117613820326e-09,0.054791484931128634,0.0,0.013334747602988304,0.031075110263184432,0.3192723737678675,0.35040435795764596,0.207006720262565,0.09201729043090859,0.0,1.1067327357236927e-30,1.6445729516695825e-10,1.4765735637721901e-28,0.0,1.6209291606984071e-59,2.9166416399202796e-07,1.7944564542336966e-51,4.316892112283491e-33,5.127306195578049e-49,7.331882762203348e-38,1.3715957667248997e-24,2.0882619567039481e-78,9.482003777637022e-19,6.222463023056111e-54,7.721568106767799e-49,2.47345144441761e-73,1.630350783011634e-10,1.7203741080646581e-62,9.051109813025124e-07,9.99690950689291e-05,4.583095170908338e-05,8.043401743643388e-05,5.49991765025152e-06,2.826374452444322e-05,2.3845755790008227e-13,9.075267802033264e-06,1.0923179210214878e-12
2.131136914821563e-09,0.054791484931128634,0.0,0.01333402928254073,0.031075110263184432,0.3192720085634411,0.350404149184129,0.20700672056041303,0.09201729047968739,0.0,1.1161723920519064e-30,1.6492351521715241e-10,1.4937498835957886e-28,0.0,1.6533208841552907e-59,2.943592767706023e-07,1.819977296771006e-51,4.3414125709877805e-33,5.1710409568990716e-49,7.394284205710007e-38,1.3754845315221549e-24,2.1180336150509501e-78,9.543955594020094e-19,6.275539198981446e-54,7.831368013375301e-49,2.522879826508543e-73,1.634932590258012e-10,1.7400033600956124e-62,9.05062211332427e-07,0.00010023106820446142,4.597564130456852e-05,8.064279048712021e-05,5.4996198022520815e-06,2.8320127270004258e-05,2.3768176270202297e-13,9.122116341089643e-06,1.098501537368985e-12
2.137162068261093e-09,0.054791484931128634,0.0,0.013333311200733621,0.031075110263184432,0.31927164349828313,0.3504039405136826,0.2070067208581863,0.09201729052845002,0.0,1.125665569191967e-30,1.6538973498963772e-10,1.5110865881273214e-28,0.0,1.686265554718739e-59,2.9707140536492415e-07,1.8457873304170105e-51,4.366002568146246e-33,5.215023712199181e-49,7.457037933244703e-38,1.379373296324932e-24,2.1481438650254117e-78,9.606223186274065e-19,6.328916338257548e-54,7.942411842174913e-49,2.5731519918435627e-73,1.6395141701922404e-10,1.7598003135281153e-62,9.050134575234857e-07,0.00010049295514333317,4.612033450750149e-05,8.085146046731611e-05,5.499322028925394e-06,2.8376366233272784e-05,2.369108377445248e-13,9.169055590832057e-06,1.1047024997486574e-12
2.1431872217006233e-09,0.054791484931128634,0.0,0.01333259335808597,0.031075110263184432,0.3192712785723995,0.3504037319462579,0.20700672115588414,0.0920172905771965,0.0,1.13521241840908e-30,1.6585595448455122e-10,1.5285848768602458e-28,0.0,1.7197710092155856e-59,2.9980060370499557e-07,1.8718890000061478e-51,4.390662105228815e-33,5.259255162606394e-49,7.520144927655412e-38,1.3832620611332294e-24,2.1785955865398885e-78,9.668808188071764e-19,6.382595291765295e-54,8.054710105338715e-49,2.6242798994439372e-73,1.6440955228325265e-10,1.7797659236938786e-62,9.049647199110458e-07,0.00010075475608660426,4.626503075545225e-05,8.106002742581146e-05,5.499024331126519e-06,2.8432461454231524e-05,2.3614477133091894e-13,9.216085303984145e-06,1.1109208072626197e-12
2.1492123751401536e-09,0.054791484931128634,0.0,0.013331875755114811,0.031075110263184432,0.31927091378579625,0.3504035234818061,0.2070067214535056,0.09201729062592674,0.0,1.1448130909681957e-30,1.6632217370202998e-10,1.5462459570392875e-28,0.0,1.7538451729425649e-59,3.0254692565784727e-07,1.89828476402961e-51,4.415391183714854e-33,5.303736009248732e-49,7.583606171717035e-38,1.3871508259470458e-24,2.209391675791009e-78,9.731712242500666e-19,6.436576910385558e-54,8.168273373714219e-49,2.676275643340437e-73,1.6486766481970716e-10,1.7999011486704952e-62,9.049159985303335e-07,0.0001010164712341698,4.640972948768506e-05,8.126849141138463e-05,5.498726709687378e-06,2.8488412974206446e-05,2.353835124384171e-13,9.263205233382085e-06,1.1171564590130805e-12
2.1612626820192136e-09,0.054791484931128634,0.0,0.0133304412702603,0.031075110263184432,0.31927018463045354,0.35040310686162623,0.20700672204851617,0.09201729072333846,0.0,1.1641765111709666e-30,1.6725461130523104e-10,1.5820613597729348e-28,0.0,1.823731776106533e-59,3.0809115555138844e-07,1.9519684778506386e-51,4.4650579708621765e-33,5.39344869575088e-49,7.711595339527214e-38,1.3949283555912298e-24,2.2720286239855605e-78,9.858484128843086e-19,6.545451546487087e-54,8.39923750382162e-49,2.7829196980343182e-73,1.6578382171717135e-10,1.8406842890977224e-62,9.048186046043306e-07,0.00010153964493594576,4.669913217054256e-05,8.16851106588193e-05,5.498131699105009e-06,2.8599885083208725e-05,2.338752392035303e-13,9.357714752836065e-06,1.1296797916328098e-12
2.1715098752466024e-09,0.054791484931128634,0.0,0.013329222189438996,0.031075110263184432,0.31926956501857456,0.35040275290484024,0.20700672255424651,0.09201729080612292,0.0,1.1808133025818035e-30,1.6804752536812705e-10,1.6130410913669248e-28,0.0,1.8850248040570625e-59,3.1286016850012217e-07,1.9985675836041947e-51,4.507511868060765e-33,5.4705287234755235e-49,7.821556996872832e-38,1.4015421165605303e-24,2.326403525234914e-78,9.96730608714746e-19,6.638995282815055e-54,8.599720489929215e-49,2.8764503474619674e-73,1.6656282055683908e-10,1.8759075299993447e-62,9.047358353435872e-07,0.00010198426682285471,4.694523363141505e-05,8.203906665187462e-05,5.497625968745665e-06,2.8694225554672155e-05,2.3260730862289655e-13,9.438364262728901e-06,1.1403838046154744e-12
2.1817570684739913e-09,0.054791484931128634,0.0,0.013328003808835559,0.031075110263184432,0.31926894580963383,0.35040239924524086,0.2070067230597455,0.09201729088885997,0.0,1.197607834825241e-30,1.6884043863040338e-10,1.6445084207131692e-28,0.0,1.948074119675422e-59,3.1767944142734094e-07,2.0460513246650526e-51,4.550166934377022e-33,5.548339663401529e-49,7.932556681762304e-38,1.4081558775457746e-24,2.3818145326460214e-78,1.0077073618277665e-18,6.733426047836932e-54,8.804008551394388e-49,2.9726610519702524e-73,1.673417536816847e-10,1.911634516604855e-62,9.046531135068956e-07,0.000102428643217886,4.719133472051197e-05,8.239272545834923e-05,5.497120469730478e-06,2.8788150985123648e-05,2.31352671352252e-13,9.519271367219145e-06,1.1511379736289048e-12
2.19200426170138e-09,0.054791484931128634,0.0,0.013326786130935003,0.031075110263184432,0.3192683270036519,0.3504020458825885,0.20700672356500968,0.0920172909715495,0.0,1.2145608520236183e-30,1.6963335109273218e-10,1.676469522819886e-28,0.0,2.012921423831055e-59,3.225492373847656e-07,2.0944322057533227e-51,4.593023177372281e-33,5.6268849646447154e-49,8.044599226664788e-38,1.4147696385469547e-24,2.438276383323708e-78,1.0187795088419304e-18,6.828748027359597e-54,9.012155453742144e-49,3.0716154473662123e-73,1.681206211006448e-10,1.947870043830599e-62,9.045704392635831e-07,0.00010287277506981473,4.743743273009867e-05,8.274608731785395e-05,5.496615205543544e-06,2.8881661617555023e-05,2.3011120361373026e-13,9.600434853995326e-06,1.161942294259344e-12
2.202251454928769e-09,0.054791484931128634,0.0,0.013325569158205796,0.031075110263184432,0.3192677086006468,0.3504016928166435,0.2070067240700357,0.09201729105419133,0.0,1.2316730982971563e-30,1.704262627557852e-10,1.708930640711225e-28,0.0,2.079609204538118e-59,3.27469818858964e-07,2.1437228481453944e-51,4.636080604688444e-33,5.70616807632092e-49,8.157689463438421e-38,1.4213833995640628e-24,2.495803953457496e-78,1.0299478944246172e-18,6.924965407189889e-54,9.224215463250524e-49,3.173378370683238e-73,1.6889942282265135e-10,1.984618929583629e-62,9.044878127818556e-07,0.00010331666331772437,4.76835249667877e-05,8.30991524699007e-05,5.49611017951972e-06,2.8974757706022936e-05,2.288826789901932e-13,9.681853511822089e-06,1.1727967620938258e-12
2.2124986481561577e-09,0.054791484931128634,0.0,0.013324352893099814,0.031075110263184432,0.31926709060063424,0.3504013400471665,0.20700672457482036,0.09201729113678528,0.0,1.2489453177639598e-30,1.7121917362023353e-10,1.7418980861724726e-28,0.0,2.148180748004035e-59,3.3244144776276904e-07,2.193935990201076e-51,4.679339224048343e-33,5.7861924475460105e-49,8.271832223330442e-38,1.427997160597092e-24,2.554412258974858e-78,1.041213371331044e-18,7.022082373134603e-54,9.440243349209773e-49,3.2780158770427116e-73,1.6967815885663138e-10,2.021886014765629e-62,9.044052342287944e-07,0.00010376030889102105,4.7929608751575246e-05,8.345192115390208e-05,5.495605394853288e-06,2.906743951560688e-05,2.2766686536504187e-13,9.763526130570713e-06,1.183701372720173e-12
