Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511)
8.8261892335933e-12,0.07659248437779444,0.0,1.901582695037043,0.031075110263184432,0.319338742794932,0.35044236354437547,0.20698230842146198,0.0919714132720193,0.0,2.0661540817522714e-27,6.49444853984566e-09,3.5257136022897366e-25,0.0,3.6377983881614715e-56,1.758147972818872e-11,2.4547278584618595e-46,7.123729637281055e-28,5.2099354253079775e-40,8.34625683951693e-33,1.0455947586192515e-18,2.2272371790097155e-64,1.317875604853642e-14,3.5212497175154527e-43,1.478885005424545e-44,9.49746821342834e-66,6.487758679694741e-09,7.749036244011129e-51,4.678062359196443e-05,5.287331013349588e-05,1.8353755463979807e-05,4.242210071579604e-05,2.9911758752957987e-05,1.750552555973583e-05,2.8474386648321143e-07,2.771534268659467e-07,2.2147073754706176e-13,9.220828557539359e-09,2.738712533097903e-07
8.86980168751857e-12,0.07659248437779444,0.0,1.9015818894698344,0.031075110263184432,0.31933839495405414,0.3504421568617511,0.20698218581673744,0.09197138336465896,0.0,2.0969329169029322e-27,6.526537325001436e-09,3.578577889396415e-25,0.0,3.765478490533998e-56,1.7850846647224157e-11,2.5159569685950948e-46,7.194297342530268e-28,5.287545743490189e-40,8.470555775109e-33,1.0507609568086862e-18,2.2828087201800816e-64,1.3245599964777812e-14,3.5737043611428806e-43,1.5157733951557034e-44,9.812870985689116e-66,6.51978139534817e-09,7.903335112565482e-51,4.681052778159219e-05,5.312829488433522e-05,1.844949094882968e-05,4.2628751251410736e-05,3.003436347753098e-05,1.75928137364344e-05,2.8757526468930266e-07,2.798932136542923e-07,2.2360013755506941e-13,9.35776766684349e-09,2.765624756552337e-07
8.913414141443839e-12,0.07659248437779444,0.0,1.9015810845902446,0.031075110263184432,0.31933804713916547,0.35044195020802404,0.20698206343062114,0.09197135393503994,0.0,2.128015903245778e-27,6.558626091233322e-09,3.6319714588024114e-25,0.0,3.896980362955166e-56,1.8123024237228545e-11,2.5784016347830526e-46,7.265212807494289e-28,5.3659229877039615e-40,8.596082371222659e-33,1.0559271519406474e-18,2.3394839989903664e-64,1.3312461510755684e-14,3.626677348608871e-43,1.5533941151266795e-44,1.0137180120208212e-65,6.551803769483643e-09,8.059926893982563e-51,4.683995432958059e-05,5.338321896194479e-05,1.8545275768138525e-05,4.2835372889696435e-05,3.0156749593842246e-05,1.768010890374427e-05,2.904208459653254e-07,2.8264641138416e-07,2.2573970729082514e-13,9.496051604640203e-09,2.792666355357289e-07
8.957026595369108e-12,0.07659248437779444,0.0,1.9015802803902522,0.031075110263184432,0.3193376993502601,0.3504417435831902,0.20698194126272335,0.09197132497553905,0.0,2.1594045360086045e-27,6.590714838543965e-09,3.685897016769838e-25,0.0,4.032398851708651e-56,1.8398028543933755e-11,2.6420798608927102e-46,7.336476031660707e-28,5.445070928179499e-40,8.722842653759625e-33,1.0610933440205864e-18,2.397279375434458e-64,1.337934069628142e-14,3.680171228106222e-43,1.5917580120234857e-44,1.0470603451144047e-65,6.583825802134182e-09,8.218834192080871e-51,4.6868910860043585e-05,5.363808238132732e-05,1.8641109917419245e-05,4.3041965634757976e-05,3.0278917491608055e-05,1.7767411050582882e-05,2.9328061251215994e-07,2.8541301902588094e-07,2.2788944662386747e-13,9.63568685689075e-09,2.8198372969008273e-07
9.000639049294378e-12,0.07659248437779444,0.0,1.9015794768619576,0.031075110263184432,0.3193373515873318,0.35044153698724556,0.2069818193126551,0.09197129647865492,0.0,2.1911003104165882e-27,6.62280356693601e-09,3.740357270629008e-25,0.0,4.171830676499015e-56,1.867587563547448e-11,2.7070098275483296e-46,7.4080870145172625e-28,5.524993335141128e-40,8.850842648521058e-33,1.066259533053946e-18,2.4562113703658126e-64,1.3446237531165037e-14,3.734188547823758e-43,1.6308760390213353e-44,1.0813352658367153e-65,6.6158474933328114e-09,8.380079721552485e-51,4.689740487540027e-05,5.3892885157481266e-05,1.8736993392177042e-05,4.3248529490698706e-05,3.0400867559849264e-05,1.7854720165872072e-05,2.9615456652311003e-07,2.881930355481954e-07,2.300493554237482e-13,9.776679908285297e-09,2.8471375485645145e-07
9.044251503219647e-12,0.07659248437779444,0.0,1.9015786739975817,0.031075110263184432,0.31933700385037433,0.3504413304201859,0.20698169758002807,0.09197126843700595,0.0,2.2231047216922844e-27,6.654892276412101e-09,3.795354928779184e-25,0.0,4.315374458057826e-56,1.895658160239684e-11,2.7732098929921128e-46,7.480045755551844e-28,5.605693978807328e-40,8.980088381207584e-33,1.0714257190461572e-18,2.516296666284243e-64,1.3513152025215197e-14,3.788731855946344e-43,1.6707592563031385e-44,1.1165643320323202e-65,6.647868843112561e-09,8.543686307963118e-51,4.692544375831734e-05,5.4147627305400816e-05,1.8832926187909392e-05,4.3455064461620554e-05,3.0522600186892614e-05,1.7942036238538034e-05,2.9904271018389757e-07,2.909864599182548e-07,2.3221943356003254e-13,9.919037242242453e-09,2.874567077723418e-07
9.087863957144917e-12,0.07659248437779444,0.0,1.9015778717894654,0.031075110263184432,0.3193366561393818,0.35044112388200727,0.2069815760644546,0.09197124084332832,0.0,2.25541926505563e-27,6.686980966974884e-09,3.850892700689349e-25,0.0,4.463130746019394e-56,1.9240162557667003e-11,2.840698593944815e-46,7.5523522542524755e-28,5.687176629390732e-40,9.110585877419304e-33,1.076591902002643e-18,2.5775521081227048e-64,1.3580084188239204e-14,3.843803700654896e-43,1.7114188315779724e-44,1.1527694967375307e-65,6.679889851506461e-09,8.709676887752204e-51,4.695303477362062e-05,5.44023088400759e-05,1.8928908300106107e-05,4.366157055162401e-05,3.064411576037199e-05,1.802935925751136e-05,3.0194504567265634e-07,2.937932911016221e-07,2.3439968090229875e-13,1.0062765340908798e-08,2.902125851746114e-07
9.131476411070187e-12,0.07659248437779444,0.0,1.9015770702300634,0.031075110263184432,0.3193363084543481,0.35044091737270544,0.20698145476554772,0.09197121369047427,0.0,2.2880454357239428e-27,6.7190696386270015e-09,3.9069732968989547e-25,0.0,4.615202047067392e-56,1.9526634636679765e-11,2.9094946464663216e-46,7.625006510107304e-28,5.769445057098142e-40,9.242341162655846e-33,1.0817580819288154e-18,2.6399947040340832e-64,1.3647034030042983e-14,3.8994066301263866e-43,1.752866040599532e-44,1.1899731135627683e-65,6.711910518547548e-09,8.878074508232963e-51,4.698018507017595e-05,5.465692977649225e-05,1.9024939724249272e-05,4.386804776480813e-05,3.076541466722959e-05,1.811668921172701e-05,3.048615751599273e-07,2.966135280622728e-07,2.3659009732013864e-13,1.0207870685158398e-08,2.9298138379947004e-07
9.175088864995456e-12,0.07659248437779444,0.0,1.901576269311948,0.031075110263184432,0.31933596079526694,0.35044071089227624,0.20698133368292124,0.09197118697141005,0.0,2.3209847289119232e-27,6.7511582913711e-09,3.9635994290186857e-25,0.0,4.771692853353739e-56,1.981601399726713e-11,2.9796169468161824e-46,7.698008522604593e-28,5.852503032130559e-40,9.375360262316368e-33,1.0869242588300784e-18,2.7036416261779758e-64,1.3714001560431109e-14,3.95554319253386e-43,1.7951122676845494e-44,1.2281979421232866e-65,6.7439308442688594e-09,9.048902327592486e-51,4.700690168274018e-05,5.491149012963132e-05,1.9121020455813298e-05,4.407449610527057e-05,3.088649729371729e-05,1.8204026090124358e-05,3.077923008086522e-07,2.99447169762596e-07,2.3879068268315703e-13,1.0354359754592339e-08,2.957631003824802e-07
9.218701318920726e-12,0.07659248437779444,0.0,1.9015754690278026,0.031075110263184432,0.3193356131621325,0.35044050444071584,0.20698121281618959,0.09197116067921424,0.0,2.3542386398316508e-27,6.783246925209821e-09,4.0207738097312135e-25,0.0,4.93270967119096e-56,2.0108316819706867e-11,3.0510845723141085e-46,7.77135829123272e-28,5.936354324683174e-40,9.509649201699587e-33,1.092090432711825e-18,2.7685102115074734e-64,1.3780986789206786e-14,4.012215936046436e-43,1.838169006231193e-44,1.2674671535184553e-65,6.7759508287034375e-09,9.222183614891784e-51,4.7033191533782495e-05,5.516598991447044e-05,1.9217150490264906e-05,4.428091557710761e-05,3.100736402539776e-05,1.8291369881647194e-05,3.107372247741685e-07,3.022942151633949e-07,2.410014368609722e-13,1.0502239027538259e-08,2.985577316585586e-07
9.262313772845995e-12,0.07659248437779444,0.0,1.901574669370423,0.031075110263184432,0.31933526555493846,0.3504402980180199,0.20698109216496782,0.09197113480707596,0.0,2.3878086636925908e-27,6.815335540145809e-09,4.078499152791958e-25,0.0,5.098361050019403e-56,2.040355930673112e-11,3.1239167822004244e-46,7.845055815480153e-28,6.021002704945397e-40,9.64521400600381e-33,1.0972566035794392e-18,2.834617962555937e-64,1.3847989726171836e-14,4.069427408829325e-43,1.8820478592374434e-44,1.307804335859833e-65,6.8079704718843255e-09,9.397941750065899e-51,4.7059061435276786e-05,5.542042914598269e-05,1.9313329823063138e-05,4.44873061844141e-05,3.1128015247145815e-05,1.83787205752437e-05,3.1369634920420344e-07,3.0515466322388836e-07,2.4322235972321577e-13,1.0651514981049872e-08,3.0136527436197616e-07
9.305926226771265e-12,0.07659248437779444,0.0,1.9015738703327139,0.031075110263184432,0.3193349179736788,0.3504400916241844,0.20698097172887184,0.09197110934829299,0.0,2.4216962957015912e-27,6.8474241361817076e-09,4.1367781730298415e-25,0.0,5.268757611650571e-56,2.0701757683534925e-11,3.198133018496485e-46,7.919101094835452e-28,6.1064519431008736e-40,9.782060700326943e-33,1.1024227714382951e-18,2.9019825482237777e-64,1.3915010381126731e-14,4.127180159043832e-43,1.9267605398194407e-44,1.3492334998482268e-65,6.839989773844574e-09,9.576200223923945e-51,4.7084518090465296e-05,5.567480783913703e-05,1.9409558449659356e-05,4.4693667931283566e-05,3.124845134314955e-05,1.8466078159866517e-05,3.166696762388686e-07,3.0802851290171114e-07,2.454534511395325e-13,1.0802194090906495e-08,3.041857252263596e-07
9.349538680696534e-12,0.07659248437779444,0.0,1.9015730719076878,0.031075110263184432,0.3193345704183474,0.35043988525920533,0.20698085150751805,0.0919710842962702,0.0,2.4559030310628816e-27,6.879512713320157e-09,4.195613586348051e-25,0.0,5.444012079787889e-56,2.100292819778476e-11,3.2737529068650475e-46,7.993494128787263e-28,6.192705809327487e-40,9.920195309666539e-33,1.1075889362937578e-18,2.970621804565228e-64,1.3982048763870555e-14,4.185476734847374e-43,1.9723188717298113e-44,1.391779084399966e-65,6.8720087346172346e-09,9.756982638149199e-51,4.710956809559424e-05,5.5929126008898275e-05,1.950583636549725e-05,4.490000082180815e-05,3.136867269691166e-05,1.8553442624472678e-05,3.196572080106546e-07,3.1091576315291525e-07,2.4769471097958046e-13,1.0954282831612569e-08,3.07019080984692e-07
