Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539)
1.7165901328952915e-12,0.04692242069448014,0.0,1.1650359988904093,0.031075110263184432,0.3193987997250374,0.3504782426769549,0.2070068038413663,0.09199597477980197,0.0,2.3861465863515535e-46,4.603268164218011e-16,1.0932247404733106e-44,0.0,1.8738863260210634e-93,2.0981380506300117e-15,2.430546203866559e-77,3.042564181154469e-45,4.0053546837068055e-68,1.4150553583957912e-54,1.1688415675907194e-32,1.6009825025988437e-109,2.4924739665233106e-26,5.4539940263454055e-74,3.3863852733981364e-74,9.840055076568572e-110,4.60254047934496e-16,1.1323769108204649e-87,2.2220759158154485e-05,8.244053435208257e-06,2.6382398736365047e-06,6.549462584389507e-06,5.4163388485907475e-06,2.637957633340572e-06,1.7508532404192422e-12,1.402443341255487e-10,2.4049906492119117e-21,4.9707870952896115e-15
1.84031193175566e-12,0.04692242069448014,0.0,1.1650326994885172,0.031075110263184432,0.31939801544143953,0.3504777706479798,0.20700641413563864,0.09199451154681312,0.0,2.940161397983541e-46,4.935041545749327e-16,1.4194099871641676e-44,0.0,3.050103411772153e-93,2.5852856659692843e-15,3.4420734983984988e-77,3.4969213679319085e-45,4.9353147607544605e-68,1.7435872428033806e-54,1.25308366568426e-32,2.2673046622618467e-109,2.8309438648662826e-26,6.720298037891995e-74,4.795706725401809e-74,1.6006223189259474e-109,4.934205194555475e-16,1.4958564240201774e-87,2.3683992021231413e-05,8.838207500857682e-06,2.8283904747897937e-06,7.0214915594332845e-06,5.806044576238927e-06,2.828066221335764e-06,1.877781362654703e-12,1.611873592324072e-10,2.7641321006443698e-21,6.124853414576317e-15
1.951661550729992e-12,0.04692242069448014,0.0,1.1650297450267655,0.031075110263184432,0.3193973095905425,0.35047734582394563,0.20700606347765915,0.09199320955373236,0.0,3.506791696987726e-46,5.233637207082517e-16,1.7706318350917298e-44,0.0,4.601561233167745e-93,3.0835267858254976e-15,4.617196512357242e-77,3.932863116263257e-45,5.886450501330441e-68,2.079596424384725e-54,1.3289014183867916e-32,3.0414062507003782e-109,3.1538171167232186e-26,8.015436435194173e-74,6.432959663972385e-74,2.413557936280574e-109,5.232696594206771e-16,1.8920900199858783e-87,2.4985984988811718e-05,9.372942846044376e-06,2.9995262341743972e-06,7.4463155935761775e-06,6.1567025557177595e-06,2.999161677867414e-06,1.9921492995805727e-12,1.812815098199938e-10,3.1087163485198066e-21,7.305187056615884e-15
2.063011169704324e-12,0.04692242069448014,0.0,1.1650268046182017,0.031075110263184432,0.3193966037437469,0.35047692100184197,0.20700571289277317,0.09199192153492543,0.0,4.141911299584032e-46,5.532232506480051e-16,2.1830486882419415e-44,0.0,6.78551520708439e-93,3.641991628483901e-15,6.093356984487409e-77,4.3944025096946186e-45,6.952550677440142e-68,2.4562154995363116e-54,1.4047190426713124e-32,4.0138305242972716e-109,3.4939787285016415e-26,9.467119107252513e-74,8.489636276388138e-74,3.557438597802204e-109,5.531181510202856e-16,2.3622709764756042e-87,2.6274003682564764e-05,9.907675058513571e-06,3.170662204669588e-06,7.871137697221018e-06,6.507287441697142e-06,3.1702549856550013e-06,2.1066509353524508e-12,2.025555097792691e-10,3.4735329399062084e-21,8.628176388969888e-15
2.1743607886786557e-12,0.04692242069448014,0.0,1.1650238781128244,0.031075110263184432,0.3193958979010423,0.3504764961816637,0.20700536238096143,0.09199064734043008,0.0,4.849427646121049e-46,5.83082744394357e-16,2.663355501834114e-44,0.0,9.803653960056879e-93,4.264116198410517e-15,7.925007135570837e-77,4.8815390585267206e-45,8.140174133065785e-68,2.8757606617007944e-54,1.4805365385645896e-32,5.220455577007163e-109,3.8514273131067235e-26,1.1084277072324957e-73,1.1041602691307454e-73,5.137653692724985e-109,5.829659942707845e-16,2.9150731270184983e-87,2.7548198064734808e-05,1.044240414471705e-05,3.3417983903337206e-06,8.295957875471391e-06,6.857799253452052e-06,3.341346148805141e-06,2.2212940332639407e-12,2.250093304664665e-10,3.858581345890646e-21,1.010195804314176e-14
2.2857104076529876e-12,0.04692242069448014,0.0,1.1650209653622425,0.031075110263184432,0.31939519206241807,0.3504760713634058,0.2070050119422047,0.09198938682189338,0.0,5.633248162738569e-46,6.129422019474715e-16,3.2185929813670136e-44,0.0,1.390618471236868e-92,4.953336503824876e-15,1.0172801059578149e-76,5.3942722797923054e-45,9.455879678925148e-68,3.340548022973486e-54,1.5563539060933836e-32,6.701247027881405e-109,4.2261614839749684e-26,1.2875841303372514e-73,1.4173365859367245e-73,7.284913069939357e-109,6.12813189188565e-16,3.5596514346150473e-87,2.8808716488268058e-05,1.097713011103804e-05,3.5129347951813404e-06,8.720776133376455e-06,7.2082380102084085e-06,3.5124351713805023e-06,2.3360863551761682e-12,2.4864294330580364e-10,4.2638610375749796e-21,1.1734668397066209e-14
2.3970600266273194e-12,0.04692242069448014,0.0,1.1650180662196559,0.031075110263184432,0.3193944862278641,0.35047564654706315,0.20700466157648373,0.09198813983255441,0.0,6.4972802613677005e-46,6.428016233075116e-16,3.8561475448526687e-44,0.0,1.940008682513468e-92,5.713088557006086e-15,1.290392914598197e-76,5.932601697158333e-45,1.0906226092462855e-67,3.852893614106779e-54,1.6321711452844482e-32,8.500478619765501e-109,4.618179855069696e-26,1.4850742728047357e-73,1.79785394899391e-73,1.0159549143340994e-108,6.426597357899978e-16,4.305641989678915e-87,3.0055705714086533e-05,1.1511852963791937e-05,3.684071423183653e-06,9.145592475931514e-06,7.558603731143583e-06,3.683522057400284e-06,2.451035661468338e-12,2.734563197886089e-10,4.6893714860758586e-21,1.3534443576080063e-14
2.5084096456016513e-12,0.04692242069448014,0.0,1.1650151805398414,0.031075110263184432,0.3193937803973701,0.35047522173263096,0.2070043112837795,0.09198690622722717,0.0,7.44543133973096e-46,6.726610084746407e-16,4.583751285066438e-44,0.0,2.6658266225280504e-92,6.546808374594661e-15,1.6192452468730948e-76,6.496526840829518e-45,1.2497772117871263e-67,4.4151133845145585e-54,1.7079882561645298e-32,1.0666952815607618e-108,5.027481040876563e-26,1.7017912228721307e-73,2.2560309941384654e-73,1.3956288034997952e-108,6.725056340914331e-16,5.163162007979535e-87,3.128931092817379e-05,1.2046572709227068e-05,3.8552082782689886e-06,9.570406908078605e-06,7.908896435386879e-06,3.854606810840679e-06,2.5661497109882638e-12,2.994494314724573e-10,5.1351121625246856e-21,1.550941945387765e-14
2.619759264575983e-12,0.04692242069448014,0.0,1.1650123081791324,0.031075110263184432,0.3193930745709261,0.3504747969201043,0.2070039610640729,0.09198568586228376,0.0,8.48160878134238e-46,7.025203574490211e-16,5.409481931813874e-44,0.0,3.612964098385511e-92,7.457931977890271e-15,2.0119637142634726e-76,7.086047247453162e-45,1.4237076466084548e-67,5.0295232022766113e-54,1.7838052387603674e-32,1.3254221392455661e-108,5.454063656399136e-26,1.9386280642477763e-73,2.8031902065856837e-73,1.8909505489896976e-108,7.023508841092017e-16,6.1428098285839005e-87,3.2509675758478624e-05,1.2581289353525358e-05,4.026345364323269e-06,9.995219434707067e-06,8.25911614202002e-06,4.0256894356353435e-06,2.6814362610028663e-12,3.266222499803192e-10,5.601082538067619e-21,1.7667731653451224e-14
2.731108883550315e-12,0.04692242069448014,0.0,1.1650094489954046,0.031075110263184432,0.3193923687485219,0.35047437210947835,0.20700361091734484,0.09198447859563748,0.0,9.609719955507612e-46,7.323796702308151e-16,6.341762814214472e-44,0.0,4.835021698002336e-92,8.449895393145362e-15,2.4774288646420426e-76,7.701162460025315e-45,1.6130697814794165e-67,5.69843885414303e-54,1.8596220930986942e-32,1.6320806033079741e-108,5.897926317154513e-26,2.196477876113273e-73,3.451704500761533e-73,2.5298998222724943e-108,7.321954858596154e-16,7.255664911799461e-87,3.371694229163446e-05,1.3116002902803094e-05,4.197482685190448e-06,1.0420030060654102e-05,8.609262870077615e-06,4.196769935675836e-06,2.796903067148662e-12,3.5497474699971767e-10,6.0872820838655476e-21,2.0017515548016312e-14
2.842458502524647e-12,0.04692242069448014,0.0,1.1650066028480595,0.031075110263184432,0.3193916629301477,0.3504739473007483,0.20700326084357634,0.09198328428672649,0.0,1.0833672217324014e-45,7.622389468201842e-16,7.389362823002282e-44,0.0,6.395519004788367e-92,9.526134651854746e-15,3.0253086112986825e-76,8.341872027798196e-45,1.8185194808458344e-67,6.424176045538619e-54,1.935438819206235e-32,1.9930418915284336e-108,6.359067639168992e-26,2.4762337331247796e-73,4.215043795559029e-73,3.345628961761603e-108,7.620394393589658e-16,8.513287837117277e-87,3.491125108949893e-05,1.3650713363111598e-05,4.368620244672986e-06,1.0844838790705336e-05,8.959336638547662e-06,4.367848314812093e-06,2.912557883382214e-12,3.845068942818987e-10,6.593710271094072e-21,2.2566906261922527e-14
2.9538081214989787e-12,0.04692242069448014,0.0,1.165003769598005,0.031075110263184432,0.31939095711579385,0.35047352249390934,0.20700291084274852,0.09198210279649739,0.0,1.215737290768077e-45,7.920981872172898e-16,8.56139637284301e-44,0.0,8.369212029935692e-92,1.069008579104128e-14,3.6660916586880856e-76,9.008175506188873e-45,2.0407126058315466e-67,7.209050400567284e-54,2.0112554171097094e-32,2.415218329889665e-108,6.83748623897379e-26,2.7787887054148304e-73,5.107821585022853e-73,4.377149354388361e-108,7.918827446235263e-16,9.92772030115671e-87,3.6092741205516546e-05,1.4185420740437935e-05,4.5397580465322685e-06,1.1269645629595383e-05,9.30933746637197e-06,4.538924576852866e-06,3.028408461930572e-12,4.152186636410096e-10,7.120366570943501e-21,2.5324038671549925e-14
3.0651577404733106e-12,0.04692242069448014,0.0,1.1650009491076434,0.031075110263184432,0.3193902513054505,0.3504730976889569,0.20700256091484248,0.09198093398738892,0.0,1.3584729353258975e-45,8.21957391422293e-16,9.867323364667294e-44,0.0,1.0843522265685553e-91,1.1945184853537594e-14,4.411120924908218e-76,9.700072456689177e-45,2.2803050142390907e-67,8.055377462016426e-54,2.087071886835828e-32,2.906085411044455e-108,7.333180733600804e-26,3.1050358585932706e-73,6.145841504474206e-73,5.670075918663962e-108,8.21725401669551e-16,1.1511485115610617e-86,3.726155020090613e-05,1.4720125040705598e-05,4.71089609448906e-06,1.1694450582008382e-05,9.659265372446669e-06,4.7099987255661485e-06,3.144462553241683e-12,4.4711002695329006e-10,7.667250454618816e-21,2.829704740619135e-14
3.1765073594476424e-12,0.04692242069448014,0.0,1.1649981412408537,0.031075110263184432,0.3193895454991082,0.35047267288588635,0.2070022110598393,0.0919797777233161,0.0,1.511964886653174e-45,8.518165594353541e-16,1.1316949148019988e-43,0.0,1.392008210308931e-91,1.329486788826403e-14,5.272626960898155e-76,1.0417562446776851e-44,2.5379525605504284e-67,8.965472691361345e-54,2.162888228411296e-32,3.4737038525506624e-108,7.84614974057842e-26,3.455868253748239e-73,7.34614389205992e-73,7.277432156331572e-108,8.515674105132762e-16,1.3277586205191228e-86,3.841781416067478e-05,1.5254826269775209e-05,4.8820343922239465e-06,1.2119253652578524e-05,1.0009120375622636e-05,4.881070764679639e-06,3.2607279059347894e-12,4.801809561562718e-10,8.234361393339684e-21,3.149406684892079e-14
