Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30)
2.35013074792402e-17,0.05820194281292722,0.0,0.0014451542396772062,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.0920181955403382,0.0,3.538164004202568e-52,1.2657093504740403e-17,7.076327379126011e-52,0.0,3.400392970362077e-110,2.916683906724225e-57,3.3016378067728027e-87,4.408072192107559e-47,2.585226102827685e-69,5.502412188402199e-59,8.029672558140808e-31,2.5118253670455237e-112,2.7347784459206207e-42,6.86704966327731e-74,9.190162425626825e-85,3.00197797672689e-119,1.2657093504741208e-17,1.8689881495843314e-89,3.6777657091143815e-13
3.1335081066168365e-17,0.05820194281292722,0.0,0.0014451542395546144,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.0920181955402156,0.0,7.709475515783018e-52,1.6876127057333243e-17,1.5418949660399523e-51,0.0,1.5645386047420821e-109,5.016435094095204e-57,1.086205900980317e-86,7.519654037020635e-47,5.633073345057107e-69,1.1989470243280483e-58,1.0706231590152545e-30,8.313279226997503e-112,3.6463717764019707e-42,1.496294439201287e-73,3.041618360157242e-84,1.1545281770000698e-118,1.6876127057334315e-17,4.8649670177365054e-89,4.90368432349316e-13
4.7002628240024703e-17,0.05820194281292722,0.0,0.0014451542393094314,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819553997043,0.0,2.2378236249481586e-51,2.531419416251892e-17,4.4756468518888503e-51,0.0,1.90602141549935e-108,1.0542746713227036e-56,6.285654386980212e-86,1.5568491521902812e-46,1.6351079378652742e-68,3.480174456238736e-58,1.605934965417602e-30,4.850535800133794e-111,5.469558437360575e-42,4.343282547649643e-73,1.7746804509090447e-83,8.787648389179964e-118,2.531419416252053e-17,1.7853748433903192e-88,7.355517126022995e-13
6.267017541388103e-17,0.05820194281292722,0.0,0.0014451542390642486,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819553972525,0.0,4.893868731083162e-51,3.3752261267704596e-17,9.787736591768732e-51,0.0,8.813569449793773e-108,1.819638674356042e-56,2.084841255385004e-85,2.647792927199121e-46,3.5757972701044164e-68,7.610750355938194e-58,2.1412467718199496e-30,1.6138323001301897e-110,7.292745098312763e-42,9.498270736459117e-73,5.9045681970190826e-83,3.318389328501874e-117,3.375226126770674e-17,4.629611491561669e-88,9.807342993222976e-13
7.833772258773737e-17,0.05820194281292722,0.0,0.0014451542388190667,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819553948007,0.0,9.181564804979163e-51,4.2190328372890274e-17,1.8363127976973797e-50,0.0,3.2301920215153276e-107,2.821670581751843e-56,5.609836035122239e-85,4.045229587764347e-46,6.708683082650785e-68,1.4278805061470964e-57,2.676558578222297e-30,4.3514820017027745e-110,9.115931759258074e-42,1.7820050576373866e-72,1.5920857525498403e-82,1.0150862369341308e-116,4.2190328372892955e-17,1.0122539326244377e-87,1.2259161429731793e-12
1.0967281693545004e-16,0.05820194281292722,0.0,0.0014451542383287052,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819553898971,0.0,2.512243772030774e-50,5.906646258326163e-17,5.024487097247166e-50,0.0,5.001069045629436e-106,5.608489310708057e-56,3.2969593733235255e-84,7.778833667409794e-46,1.835618181748048e-67,3.906941774050173e-57,3.747182191026992e-30,2.5653569709532847e-109,1.2762305081127637e-41,4.875891204676894e-72,9.385909492643026e-82,8.985289820281286e-116,5.906646258326539e-17,3.8935805311955776e-87,1.716277554405454e-12
1.723430056308754e-16,0.05820194281292722,0.0,0.0014451542373479914,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.092018195538009,0.0,9.977334505231103e-50,9.281873100400434e-17,1.99546672359463e-49,0.0,1.647163440284504e-104,1.46236880592537e-55,3.623733742289516e-83,1.8977999293514537e-45,7.29012718713193e-67,1.5516354505936107e-56,5.888429416636382e-30,2.826226818336793e-108,2.0055051724783042e-41,1.9364521111281633e-71,1.0340345171506347e-80,1.7036751229157485e-114,9.281873100401025e-17,2.5701023220023898e-86,2.696991329544987e-12
2.350131943263007e-16,0.05820194281292722,0.0,0.0014451542363672898,0.031075110263184432,0.31940968187635516,0.3504847921395394,0.20701222018021495,0.0920181955370283,0.0,2.4979641811479397e-49,1.2657099942474707e-16,4.995927918021191e-49,0.0,1.0615645018238302e-103,2.8678852952960883e-55,1.5430504594687986e-82,3.515738645348831e-45,1.8251845299885081e-66,3.884734721232447e-56,8.029676642245772e-30,1.2044124148473829e-107,2.734779836832672e-41,4.8481766443435665e-71,4.406594278961676e-80,9.036247561738071e-114,1.265709994247551e-16,8.474263627795452e-86,3.677693030780865e-12
3.6035357171715137e-16,0.05820194281292722,0.0,0.0014451542344059226,0.031075110263184432,0.31940968187635516,0.35048479213953937,0.20701222018021495,0.09201819553506693,0.0,9.131212109253043e-49,1.940755362662325e-16,1.826242259447703e-48,0.0,2.7575762923811383e-102,7.52590283011834e-55,1.428028986257813e-81,8.245232278222091e-45,6.671891938095547e-66,1.4200498548162585e-55,1.2312171093464549e-29,1.1157702240241206e-106,4.193329165507904e-41,1.7722323489155695e-70,4.0822761407442725e-79,1.3898658348057973e-112,1.9407553626624482e-16,4.901968395377769e-85,5.6390602232212036e-12
6.110343264988527e-16,0.05820194281292722,0.0,0.001445154230483333,0.031075110263184432,0.31940968187635516,0.35048479213953926,0.20701222018021495,0.09201819553114433,0.0,4.577651182712021e-48,3.290846099492033e-16,9.155301551267229e-48,0.0,1.4395564861113986e-100,2.639256334911158e-54,2.2602122007555765e-80,2.367858428952481e-44,3.3447469685213847e-65,7.118981379068452e-55,2.08771599959021e-29,1.7672722628135606e-105,7.110427822724349e-41,8.884539545229637e-70,6.46592863817246e-78,4.070316348631524e-111,3.290846099492242e-16,4.427810220241834e-84,9.561649775324985e-12
1.1123958360622553e-15,0.05820194281292722,0.0,0.0014451542226387333,0.031075110263184432,0.31940968187635516,0.350484792139539,0.20701222018021495,0.09201819552329975,0.0,2.841105177776906e-47,5.991027573151446e-16,5.682209850249881e-47,0.0,1.1455844778639279e-98,1.1981270806800726e-53,4.979711558423146e-79,7.844232482606399e-44,2.0759069556256157e-64,4.418373975927547e-54,3.8007137800777177e-29,3.895394691418352e-104,1.2944625136621217e-40,5.514162240985985e-69,1.4252098431744227e-76,1.7468120303620344e-109,5.991027573151827e-16,5.2770726639487494e-83,1.7406249598463096e-11
1.613757345625658e-15,0.05820194281292722,0.0,0.001445154214794906,0.031075110263184432,0.31940968187635516,0.3504847921395387,0.20701222018021495,0.09201819551545593,0.0,8.355923129565207e-47,8.691209046810859e-16,1.6711844772990147e-46,0.0,8.97254170859356e-98,3.1023715038202035e-53,2.5901372108185237e-78,1.650687584757919e-43,6.105412457454419e-64,1.2994799907200417e-53,5.513711560565223e-29,2.026401971647712e-103,1.8778822449803436e-40,1.6217602984231305e-68,7.414005696816654e-76,1.1246081357993278e-108,8.691209046811411e-16,2.0743201317107328e-82,2.525007709916924e-11
2.6164803647524635e-15,0.05820194281292722,0.0,0.0014451541991095673,0.031075110263184432,0.31940968187635516,0.35048479213953815,0.20701222018021495,0.09201819549977058,0.0,3.580652069232466e-46,1.4091571994129677e-15,7.161303501629103e-46,0.0,3.452711420773681e-96,1.1538576164833453e-52,3.1275387660236462e-77,4.339094876777754e-43,2.6162708069861475e-63,5.568487940290579e-53,8.939707121540221e-29,2.4472426138095624e-102,3.044721707402429e-40,6.949512672994083e-68,8.953736412990279e-75,2.3814496475813935e-107,1.4091571994130572e-15,1.4624938125610721e-81,4.093541552940795e-11
3.5189310819665884e-15,0.05820194281292722,0.0,0.0014451541849954035,0.031075110263184432,0.31940968187635516,0.35048479213953765,0.20701222018021495,0.09201819548565641,0.0,8.475592428753142e-46,1.8951898646716607e-15,1.6951183350082266e-45,0.0,2.006929805394806e-95,2.575705420339682e-52,1.20118997533387e-76,7.848363086745687e-43,6.192851082571912e-63,1.3180904850229347e-52,1.202310312641771e-28,9.399571291308911e-102,4.094877223337966e-40,1.644986328073424e-67,3.439024845138769e-74,1.1262027007331708e-106,1.8951898646717806e-15,4.383922774868649e-81,5.5049579532654854e-11
4.421381799180713e-15,0.05820194281292722,0.0,0.0014451541708837405,0.031075110263184432,0.31940968187635516,0.35048479213953715,0.20701222018021495,0.09201819547154474,0.0,1.652834513138497e-45,2.3812225299303527e-15,3.305668732312593e-45,0.0,7.833399849573748e-95,4.835741348411641e-52,3.4508661362499303e-76,1.2389980005334164e-42,1.2076746363212913e-62,2.570422614582779e-52,1.5106499131295186e-28,2.7004632185135135e-101,5.145032739042065e-40,3.207905759433364e-67,9.880195234349519e-74,3.7848921034634367e-106,2.3812225299305033e-15,1.0373461112271582e-80,6.916124240938368e-11
5.3238325163948385e-15,0.05820194281292722,0.0,0.0014451541567745783,0.031075110263184432,0.31940968187635516,0.35048479213953665,0.20701222018021495,0.0920181954574356,0.0,2.849797759740807e-45,2.8672551951890446e-15,5.699595012631666e-45,0.0,2.5142728193843265e-94,8.119514406636729e-52,8.264551256499022e-76,1.7963945577763447e-42,2.082258354194846e-62,4.431892334287979e-52,1.8189895136172654e-28,6.46754560292358e-101,6.1951882545147704e-40,5.531033248654542e-67,2.366283385477303e-73,1.0509066562106418e-105,2.8672551951892257e-15,2.0964521558098967e-80,8.327040458176967e-11
6.226283233608964e-15,0.05820194281292722,0.0,0.0014451541426679163,0.031075110263184432,0.31940968187635516,0.35048479213953615,0.20701222018021495,0.09201819544332894,0.0,4.517564856077107e-45,3.3532878604477355e-15,9.035128908684035e-45,0.0,6.916350571039053e-94,1.2620418112180853e-51,1.7402646995134028e-75,2.4570259778764276e-42,3.3008437633971377e-62,7.025537509411847e-52,2.1273291141050115e-28,1.3618930377857073e-100,7.245343769756118e-40,8.767920929304176e-67,4.9827632258666026e-73,2.5255106434087168e-105,3.3532878604479477e-15,3.808728499962545e-80,9.737706648968629e-11
8.031184668037214e-15,0.05820194281292722,0.0,0.0014451541144620919,0.031075110263184432,0.31940968187635516,0.35048479213953515,0.20701222018021495,0.09201819541512311,0.0,9.549403029101707e-45,4.325353190965115e-15,1.9098804359797122e-44,0.0,3.8327792931163558e-93,2.596757373189276e-51,5.905301237609084e-75,4.0879934050275563e-42,6.977451002252529e-62,1.48508524638434e-51,2.7440083150805e-28,4.621469960127111e-100,9.34565479954489e-40,1.853396981530602e-66,1.6908589470897218e-72,1.0865014458515258e-104,4.3253531909653884e-15,1.0064141849922323e-79,1.2558289108994053e-10
9.836086102465465e-15,0.05820194281292722,0.0,0.0014451540862662632,0.031075110263184432,0.31940968187635516,0.35048479213953415,0.20701222018021495,0.09201819538692729,0.0,1.7380678930043009e-44,5.297418521482493e-15,3.4761354768850443e-44,0.0,1.419499576477508e-92,4.642289680980362e-51,1.5598071395952327e-74,6.131900277802282e-42,1.2699520090489425e-61,2.702974183044619e-51,3.360687516055984e-28,1.220718078817748e-99,1.1445965828408708e-39,3.3733310624469513e-66,4.4662457776070574e-72,3.4083476304902287e-104,5.2974185214828284e-15,2.1932859908445315e-79,1.5377871972413534e-10
1.1640987536893715e-14,0.05820194281292722,0.0,0.0014451540580804265,0.031075110263184432,0.31940968187635516,0.35048479213953315,0.20701222018021495,0.09201819535874144,0.0,2.8678949000655763e-44,6.269483851999866e-15,5.735789290062544e-44,0.0,4.260000868608156e-92,7.561818490586643e-51,3.5240877548164697e-74,8.5887465942028e-42,2.0954813702841196e-61,4.4600362884347855e-51,3.977366717031464e-28,2.758008844422066e-99,1.3546276856347916e-39,5.566157104197961e-66,1.009073716821438e-71,8.914228962928305e-104,6.269483852000263e-15,4.2212918592970606e-79,1.8196455610075197e-10
1.3445888971321966e-14,0.05820194281292722,0.0,0.0014451540299045787,0.031075110263184432,0.31940968187635516,0.35048479213953215,0.20701222018021495,0.09201819533056559,0.0,4.4099980858407944e-44,7.241549182517237e-15,8.819995387342669e-44,0.0,1.1206360090679214e-91,1.1515641858032702e-50,7.141086886750007e-74,1.145853235441143e-41,3.222248078776067e-61,6.858253938918095e-51,4.594045918006939e-28,5.5887749138028355e-99,1.5646587883362844e-39,8.559149839989088e-66,2.0447671382045647e-71,2.0667635534542017e-103,7.241549182517697e-15,7.434653120472158e-79,2.1014040386120402e-10
1.5250790405750216e-14,0.05820194281292722,0.0,0.001445154001738716,0.031075110263184432,0.31940968187635516,0.35048479213953115,0.20701222018021495,0.09201819530239973,0.0,6.428107246031955e-44,8.213614513034606e-15,1.2856213348794774e-43,0.0,2.661508056842609e-91,1.665954305306097e-50,1.3316119025858379e-73,1.4741257559118728e-41,4.6968175088774144e-61,9.996737182592529e-51,5.210725118982411e-28,1.0421556582314536e-98,1.7746898909453823e-39,1.24759993168606e-65,3.812938737012107e-71,4.368848367526912e-103,8.213614513035126e-15,1.223637873607596e-78,2.38306266542827e-10
1.8860593274606717e-14,0.05820194281292722,0.0,0.001445153945436932,0.031075110263184432,0.31940968187635516,0.3504847921395292,0.20701222018021495,0.09201819524609794,0.0,1.2147020625507124e-43,1.0157745174069336e-14,2.429403909060944e-43,0.0,1.2126858946247937e-90,3.114012033677784e-50,3.8477130902286276e-73,2.254552630063214e-41,8.87544917515102e-61,1.8890564220079504e-50,6.444083520933343e-28,3.011351350381176e-98,2.1947520958865232e-39,2.357555890488028e-65,1.1017642202537187e-70,1.595495699266883e-102,1.015774517406998e-14,2.849140484442332e-78,2.9460805079953373e-10
2.1986988820271418e-14,0.05820194281292722,0.0,0.0014451538967070526,0.031075110263184432,0.31940968187635516,0.35048479213952755,0.20701222018021495,0.09201819519736808,0.0,1.923516149613712e-43,1.1841527269564903e-14,3.847031957121021e-43,0.0,3.5615328610801384e-90,4.898628157204898e-50,8.28517543756197e-73,3.06394605348119e-41,1.4054532670858832e-60,2.991375949122569e-50,7.5122765370491945e-28,6.484294587981615e-98,2.5585616037916202e-39,3.733258523862282e-65,2.372411226644836e-70,4.0599565755899515e-102,1.1841527269565653e-14,5.254440005378313e-78,3.4333793025350067e-10
2.5113384365936118e-14,0.05820194281292722,0.0,0.0014451538480070825,0.031075110263184432,0.31940968187635516,0.3504847921395259,0.20701222018021495,0.0920181951486681,0.0,2.8653013363576583e-43,1.3525309365060464e-14,5.730602163107984e-43,0.0,9.014381201195911e-90,7.260681627699678e-50,1.6101825398134395e-72,3.9972383152010944e-41,2.0935863341610757e-60,4.456002881124931e-50,8.580469553165033e-28,1.260195254573158e-97,2.9223711114199562e-39,5.561123383101899e-65,4.610680966183711e-70,9.121573534219494e-102,1.3525309365061323e-14,8.9359989839316e-78,3.9203790034670213e-10
2.8239779911600818e-14,0.05820194281292722,0.0,0.0014451537993370035,0.031075110263184432,0.31940968187635516,0.3504847921395242,0.20701222018021495,0.09201819509999801,0.0,4.073223813307747e-43,1.5209091460556016e-14,8.146446902173462e-43,0.0,2.0411104789005282e-89,1.0281245003860193e-49,2.8933333945761613e-72,5.054429415081496e-41,2.97617761989417e-60,6.3345159607674695e-50,9.64866256928086e-28,2.2644488913774398e-97,3.286180618771699e-39,7.905521107105344e-65,8.284947390417344e-70,1.8640865580893766e-101,1.520909146055698e-14,1.428029385219585e-77,4.4070797944943e-10
