Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29)
4.4419081132348135e-09,0.05435919745378708,0.0,0.001299948109148297,0.031075110263184432,0.31938278393951414,0.35046924316648265,0.20701165105930597,0.09201810476401144,0.0,5.0713681403228344e-30,2.637449160618327e-10,1.6711374236709902e-28,0.0,7.576649554284049e-58,1.5185070638072693e-07,2.353914655233975e-50,5.7152265398119105e-33,1.614646259469617e-48,3.0134834417128743e-37,1.6703305468894213e-24,1.5251263295024003e-77,3.699548741221937e-19,1.763602789903554e-53,1.0698590892945666e-47,8.847615449286705e-72,2.636355386330368e-10,8.24983532286268e-62,9.077678948660937e-08,1.9910015574772555e-05,6.6842197604475154e-06,1.5548709312998597e-05,5.691209092560229e-07,6.987921268480632e-06,1.4149732131790272e-14
4.447712426911437e-09,0.05435919745378708,0.0,0.0012998948085506537,0.031075110263184432,0.3193827533848461,0.3504692259985388,0.20701165108299316,0.09201810476773578,0.0,5.09127442934253e-30,2.6408954860271527e-10,1.68181509093046e-28,0.0,7.646219807005431e-58,1.523673403806983e-07,2.369337081146459e-50,5.730177239472197e-33,1.6209841872815516e-48,3.025310911268917e-37,1.672513194876956e-24,1.5351169432352498e-77,3.715644223702239e-19,1.7705254158087206e-53,1.0768665031011408e-47,8.928855923144183e-72,2.639798884550053e-10,8.293196002789383e-62,9.077306545844611e-08,1.9933931232816395e-05,6.6898255021243405e-06,1.5565876912205496e-05,5.690972220402682e-07,6.994560278453037e-06,1.413680803057575e-14
4.45351674058806e-09,0.05435919745378708,0.0,0.0012998415367018554,0.031075110263184432,0.3193827228418607,0.35046920883792354,0.20701165110666764,0.0920181047714581,0.0,5.111232740983168e-30,2.644341811267194e-10,1.6925519879804728e-28,0.0,7.716336877504884e-58,1.5288484013896863e-07,2.384840244462781e-50,5.74514748966912e-33,1.6273386788299833e-48,3.0371692844959785e-37,1.6746958428647183e-24,1.5451598447631906e-77,3.7317987342339024e-19,1.7774661335381185e-53,1.0839105846102331e-47,9.010734942249857e-72,2.643242379026612e-10,8.336727789195425e-62,9.076934343890125e-08,1.9957843229230837e-05,6.695421491331494e-06,1.5583037182861956e-05,5.690735475731387e-07,7.0011912674725205e-06,1.4124094367966483e-14
4.459321054264683e-09,0.05435919745378708,0.0,0.0012997882935865406,0.031075110263184432,0.319382692310554,0.3504691916846336,0.2070116511303294,0.0920181047751784,0.0,5.131243143130862e-30,2.6477881363385227e-10,1.7033483972561368e-28,0.0,7.787004342589282e-58,1.5340320487141864e-07,2.4004244618246267e-50,5.760137290518231e-33,1.633709755730771e-48,3.049058601698256e-37,1.676878490852708e-24,1.5552552390620732e-77,3.7480124379513235e-19,1.7844249667018803e-53,1.0909914775196667e-47,9.09325668341907e-72,2.6466858697603587e-10,8.380431134266015e-62,9.076562342690573e-08,1.9981751561280143e-05,6.701007736288349e-06,1.560019012820234e-05,5.690498858486666e-07,7.007814242190499e-06,1.4111302646775351e-14
4.465125367941306e-09,0.05435919745378708,0.0,0.001299735079189297,0.031075110263184432,0.3193826617909219,0.3504691745386657,0.20701165115397835,0.09201810477889669,0.0,5.151305703671718e-30,2.651234461241212e-10,1.714204602293166e-28,0.0,7.858225797723795e-58,1.5392243379141907e-07,2.4160900507003716e-50,5.775146642135207e-33,1.6400974395997743e-48,3.060978903179884e-37,1.679061138840924e-24,1.565403331642422e-77,3.76428550019495e-19,1.7914019389101396e-53,1.098109325901867e-47,9.176425345255472e-72,2.6501293567516094e-10,8.424306490796808e-62,9.076190542138705e-08,2.000565622620207e-05,6.706584245255231e-06,1.561733575145952e-05,5.690262368608598e-07,7.014429209293843e-06,1.4098637931333435e-14
4.470929681617929e-09,0.05435919745378708,0.0,0.0012996818934946685,0.031075110263184432,0.3193826312829606,0.3504691574000167,0.20701165117761464,0.09201810478261299,0.0,5.171420490491835e-30,2.654680785975332e-10,1.7251208877334338e-28,0.0,7.930004857168227e-58,1.5444252610986335e-07,2.4318373293870957e-50,5.790175544635872e-33,1.646501752052851e-48,3.072930229244933e-37,1.6812437868293675e-24,1.5756043285507449e-77,3.7806180865103637e-19,1.7983970737730293e-53,1.105264274204773e-47,9.26024514831022e-72,2.653572840000679e-10,8.468354312193994e-62,9.075818942126941e-08,2.002955722120819e-05,6.7121510265319866e-06,1.5634474055864916e-05,5.690026006037007e-07,7.021036175504464e-06,1.4085809957377784e-14
4.476733995294552e-09,0.05435919745378708,0.0,0.0012996287364871481,0.031075110263184432,0.31938260078666636,0.35046914026868325,0.20701165120123816,0.09201810478632728,0.0,5.191587571477302e-30,2.6581271105409555e-10,1.736097539325549e-28,0.0,8.002345153991922e-58,1.549634810351702e-07,2.447666617010798e-50,5.8052239981361755e-33,1.6529227147058598e-48,3.084912620197408e-37,1.6834264348180368e-24,1.5858584363696633e-77,3.7970103626481946e-19,1.805410394900684e-53,1.112456467251934e-47,9.344720335099389e-72,2.6570163195078837e-10,8.512575052474306e-62,9.075447542547362e-08,2.0053454543483937e-05,6.717708088459087e-06,1.5651605044648457e-05,5.689789770711472e-07,7.027635147579263e-06,1.4073236710289149e-14
4.482538308971175e-09,0.05435919745378708,0.0,0.0012995756081511842,0.031075110263184432,0.319382570302035,0.3504691231446623,0.20701165122484896,0.09201810479003958,0.0,5.211807014514198e-30,2.661573434938155e-10,1.7471348439292212e-28,0.0,8.075250340181201e-58,1.554852977733094e-07,2.463578233527985e-50,5.8202920027522066e-33,1.6593603491746607e-48,3.0969261163412492e-37,1.685609082806933e-24,1.5961658622189426e-77,3.813462494563398e-19,1.812441925903239e-53,1.1196860502432252e-47,9.429855170229439e-72,2.6604597952735366e-10,8.5569691662651e-62,9.075076343291727e-08,2.0077348190188868e-05,6.723255439415924e-06,1.5668728721038603e-05,5.689553662571326e-07,7.034226132309812e-06,1.4060671846864135e-14
4.4883426226477984e-09,0.05435919745378708,0.0,0.0012995225084711799,0.031075110263184432,0.31938253982906245,0.35046910602795034,0.20701165124844706,0.09201810479374987,0.0,5.232078887488594e-30,2.665019759167002e-10,1.758233089519525e-28,0.0,8.148724086745207e-58,1.560079755278254e-07,2.4795724997272226e-50,5.835379558600188e-33,1.6658146770751114e-48,3.1089707579803348e-37,1.687791730796056e-24,1.606526813756487e-77,3.8299746484145584e-19,1.819491690390828e-53,1.1269531687555458e-47,9.515653940520819e-72,2.663903267297954e-10,8.601537108804452e-62,9.074705344251463e-08,2.010123815845689e-05,6.728793087821331e-06,1.568584508826233e-05,5.689317681555659e-07,7.040809136522033e-06,1.4048122405634065e-14
4.4941469363244216e-09,0.05435919745378708,0.0,0.0012994694374314892,0.031075110263184432,0.319382509367745,0.3504690889185444,0.20701165127203244,0.09201810479745814,0.0,5.252403258286552e-30,2.668466083227568e-10,1.7693925651868512e-28,0.0,8.222770083715147e-58,1.565315134998375e-07,2.4956497372291125e-50,5.8504866657964735e-33,1.6722857200230708e-48,3.1210465854184768e-37,1.6899743787854047e-24,1.6169414991783324e-77,3.846546990563894e-19,1.8265597119735872e-53,1.1342579687428151e-47,9.602120955007061e-72,2.667346735581449e-10,8.646279335941125e-62,9.074334545317684e-08,2.0125124445396294e-05,6.734321042133208e-06,1.5702954149545137e-05,5.689081827603313e-07,7.0473841670761935e-06,1.403544237089776e-14
4.499951250001045e-09,0.05435919745378708,0.0,0.0012994163950164207,0.031075110263184432,0.3193824789180786,0.35046907181644127,0.20701165129560511,0.09201810480116443,0.0,5.2727801947941274e-30,2.6719124071199243e-10,1.780613561142328e-28,0.0,8.297392040278792e-58,1.5705591088807034e-07,2.5118102684882674e-50,5.8656133244575534e-33,1.6787734996343986e-48,3.1331536389594235e-37,1.69215702677498e-24,1.6274101272199124e-77,3.863179687576376e-19,1.833646014261651e-53,1.1416005965368546e-47,9.689260545091867e-72,2.670790200124336e-10,8.691196304134689e-62,9.073963946381157e-08,2.0149007048090027e-05,6.739839310848621e-06,1.5720055908111066e-05,5.688846100652892e-07,7.053951230866522e-06,1.4022932390197367e-14
4.505755563677668e-09,0.05435919745378708,0.0,0.0012993633812102383,0.031075110263184432,0.319382448480059,0.3504690547216376,0.20701165131916513,0.09201810480486872,0.0,5.293209764897361e-30,2.6753587308441443e-10,1.7918963687184893e-28,0.0,8.37259368479764e-58,1.5758116688885785e-07,2.5280544167935465e-50,5.880759534700048e-33,1.6852780375249526e-48,3.145291958906859e-37,1.6943396747647806e-24,1.6379329071562157e-77,3.879872906219616e-19,1.8407506208651568e-53,1.1489811988475012e-47,9.777077064569154e-72,2.674233660926929e-10,8.736288470455537e-62,9.073593547332346e-08,2.0172885963595774e-05,6.745347902502812e-06,1.5737150367182646e-05,5.68861050064276e-07,7.060510334821146e-06,1.4010367134380365e-14
4.511559877354291e-09,0.05435919745378708,0.0,0.0012993103959971601,0.031075110263184432,0.3193824180536826,0.3504690376341302,0.20701165134271243,0.092018104808571,0.0,5.313692036482291e-30,2.678805054400298e-10,1.8032412803748653e-28,0.0,8.448378764945784e-58,1.5810728069617472e-07,2.5443825062700885e-50,5.895925296640715e-33,1.6917993553105917e-48,3.157461585564403e-37,1.696522322754807e-24,1.6485100488030942e-77,3.8966268134629493e-19,1.8478735553942412e-53,1.156399922763521e-47,9.865574889785184e-72,2.677677117989542e-10,8.781556292584961e-62,9.073223348061387e-08,2.019676118894625e-05,6.75084682566976e-06,1.5754237529980963e-05,5.688375027511033e-07,7.067061485901678e-06,1.3998068163408664e-14
