Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231)
3.19880541498701e-10,0.07540679193649383,0.0,0.001866835087440621,0.031075110263184432,0.3194075299540209,0.3504835981177784,0.2070121153105572,0.09201818685636659,0.0,5.390655338144867e-22,1.6635673429733032e-07,6.031943910423652e-21,0.0,5.156692819198394e-46,4.6364393086328865e-09,3.418249885626939e-39,3.8196303082307677e-25,5.982627155759352e-36,1.3535873251210193e-28,1.8132809091553727e-17,1.3831325349074773e-57,2.381805491036982e-13,3.396125480223786e-39,2.2232053656021753e-37,6.048061596617578e-56,1.6615879221413558e-07,2.030063922218561e-45,4.984386463536496e-08,1.051339037266279e-06,1.836698910379358e-06,1.027656860971863e-06,1.0486965801823978e-07,5.009349742710203e-07,5.598905050046836e-09,2.1372126207739545e-07,2.003823751796909e-10,2.336689680291667e-07,1.5205771094950403e-07,3.39166190875743e-07,8.166353173820258e-12
3.2172343493285217e-10,0.07540679193649383,0.0,0.0018668019392593293,0.031075110263184432,0.31940751924821115,0.350483593485285,0.2070121153123774,0.09201818761111596,0.0,5.536900222917873e-22,1.6731514606244728e-07,6.1368871545949834e-21,0.0,5.368234876705688e-46,4.7422635198253024e-09,3.517828970689844e-39,3.863768375650085e-25,6.086625211904396e-36,1.3771101050294458e-28,1.8237275691627256e-17,1.4234367306950293e-57,2.3955802795087935e-13,3.455161497568061e-39,2.2879658969972604e-37,6.295690369813255e-56,1.671149176216965e-07,2.0772900745453146e-45,4.9845531609135096e-08,1.0544892722333087e-06,1.8518964203898024e-06,1.0313308955601477e-06,1.0486783781160238e-07,5.024262826530587e-07,5.624323946134468e-09,2.1545588636295855e-07,2.026483196027656e-10,2.369965649510974e-07,1.5305749017239261e-07,3.4271401812586263e-07,8.213401050552631e-12
3.2356632836700334e-10,0.07540679193649383,0.0,0.0018667687922262464,0.031075110263184432,0.31940750855668176,0.3504835888715081,0.2070121153142004,0.09201818837484388,0.0,5.686144602696609e-22,1.6827355781491944e-07,6.243041891155512e-21,0.0,5.5871715335208425e-46,4.849840195002781e-09,3.619715042101329e-39,3.9081600022585686e-25,6.191821560466997e-36,1.4009037571157761e-28,1.8341742291668713e-17,1.4646750629458747e-57,2.4093558200234703e-13,3.514877743481453e-39,2.354226589001795e-37,6.551958504975817e-56,1.680710298990261e-07,2.1253358965610996e-45,4.984720193816843e-08,1.0576233510117235e-06,1.8671153954263662e-06,1.0349862137003748e-06,1.0486601479745306e-07,5.039016265965392e-07,5.64966056827248e-09,2.1718897375727298e-07,2.0492698754668561e-10,2.403472967280953e-07,1.5405349900413902e-07,3.462723233700664e-07,8.260448926972632e-12
3.254092218011545e-10,0.07540679193649383,0.0,0.0018667356468432064,0.031075110263184432,0.3194074978793807,0.3504835842763531,0.207012115316026,0.09201818914759301,0.0,5.838427892960402e-22,1.692319695547978e-07,6.350415105920676e-21,0.0,5.8137169237122756e-46,4.959186200517659e-09,3.723947943522812e-39,3.952805188108774e-25,6.298223065494711e-36,1.424969830182396e-28,1.8446208891678058e-17,1.5068636763527813e-57,2.4231321138549927e-13,3.57527811445571e-39,2.4220133458221355e-37,6.817115702127843e-56,1.6902712904636601e-07,2.1742108308031414e-45,4.984887558324116e-08,1.0607414385559779e-06,1.88235533601101e-06,1.038622909943432e-06,1.0486418917149883e-07,5.053610861213048e-07,5.674915528920034e-09,2.1892043773316229e-07,2.0721837883597395e-10,2.437210894832998e-07,1.5504570492128855e-07,3.4984095688513486e-07,8.307496803085003e-12
3.272521152353057e-10,0.07540679193649383,0.0,0.001866702503610535,0.031075110263184432,0.3194074872162562,0.35048357969972593,0.20701211531785405,0.0920181899294059,0.0,5.9937896497490875e-22,1.7019038128213315e-07,6.459013785323885e-21,0.0,6.0480901125978124e-46,5.070318404422864e-09,3.8305679744317134e-39,3.9977039332541223e-25,6.405836591035088e-36,1.449309872999782e-28,1.8550675491655257e-17,1.550018900565467e-57,2.436909162251835e-13,3.636366506982871e-39,2.4913523679009636e-37,7.091417400588035e-56,1.6998321506395737e-07,2.223924374176246e-45,4.985055250659452e-08,1.0638436976531974e-06,1.8976157448560826e-06,1.0422410783649728e-06,1.0486236111808467e-07,5.068047420218557e-07,5.700089440490319e-09,2.2065019277350558e-07,2.0952249329515828e-10,2.471178683096171e-07,1.5603407640299246e-07,3.534197691624989e-07,8.354544678894458e-12
3.2909500866945686e-10,0.07540679193649383,0.0,0.001866669363027008,0.031075110263184432,0.3194074765672572,0.35048357514153294,0.20701211531968436,0.09201819072032484,0.0,6.152269565484553e-22,1.7114879299697602e-07,6.56884491641666e-21,0.0,6.290515181393973e-46,5.1832536749223974e-09,3.939615892706678e-39,4.0428562377489025e-25,6.514669001135669e-36,1.4739254343065028e-28,1.8655142091600257e-17,1.594157251244038e-57,2.4506869664371117e-13,3.698146817555266e-39,2.562270153595527e-37,7.375124877303628e-56,1.7093928795204124e-07,2.2744860779577372e-45,4.985223267190342e-08,1.0669302889443493e-06,1.9128961268825915e-06,1.045840812567809e-06,1.0486053081095812e-07,5.082326758442084e-07,5.725182915139903e-09,2.22378154369669e-07,2.118393307487709e-10,2.505375572902197e-07,1.570185829212339e-07,3.570086109188199e-07,8.401592554405695e-12
3.3093790210360803e-10,0.07540679193649383,0.0,0.0018666362255898151,0.031075110263184432,0.31940746593233266,0.35048357060168106,0.20701211532151678,0.0920181915203918,0.0,6.313907464774225e-22,1.721072046993767e-07,6.679915486868724e-21,0.0,6.541221312827475e-46,5.298008878828068e-09,4.051132917212644e-39,4.0882621016482855e-25,6.624727159843989e-36,1.4988180628092196e-28,1.875960869151302e-17,1.6392954311124356e-57,2.4644655276087054e-13,3.760622942665528e-39,2.6347935008557916e-37,7.668505346298448e-56,1.7189534771085846e-07,2.3259055478024034e-45,4.985391604424514e-08,1.070001370945364e-06,1.9281959892379622e-06,1.049422205684292e-06,1.0485869841398176e-07,5.09644969862969e-07,5.750196564563231e-09,2.2410423901980797e-07,2.1416889102134845e-10,2.539800795189124e-07,1.5799919493103768e-07,3.606073331064071e-07,8.448640429623392e-12
3.327807955377592e-10,0.07540679193649383,0.0,0.0018666030917945228,0.031075110263184432,0.3194074553114324,0.3504835660800775,0.2070121153233511,0.0920181923296486,0.0,6.478743300197608e-22,1.7306561638938513e-07,6.79223248496809e-21,0.0,6.800442877714361e-46,5.414600880022766e-09,4.1651607303858077e-39,4.133921525008322e-25,6.736017931207578e-36,1.5239893071826864e-28,1.88640752913935e-17,1.6854503310118698e-57,2.478244846939408e-13,3.823798778806584e-39,2.7089495089024866e-37,7.971832059242847e-56,1.7285139434064954e-07,2.3781924437474357e-45,4.985560259006798e-08,1.0730571000682198e-06,1.9435148413132896e-06,1.0529853503786819e-06,1.048568640817976e-07,5.11041707058615e-07,5.775130999792156e-09,2.258283642270426e-07,2.1651117393743222e-10,2.574453571203627e-07,1.589758838606662e-07,3.6421578692347447e-07,8.495688304552213e-12
3.346236889719104e-10,0.07540679193649383,0.0,0.001866569962135036,0.031075110263184432,0.3194074447045061,0.3504835615766304,0.20701211532518723,0.09201819314813674,0.0,6.646817148076801e-22,1.7402402806705107e-07,6.905802899621104e-21,0.0,7.068419522512197e-46,5.5330465379304346e-09,4.2817414808184576e-39,4.179834507885958e-25,6.848548179273957e-36,1.5494407160697514e-28,1.8968541891241654e-17,1.7326390309542637e-57,2.4920249255770605e-13,3.887678222471667e-39,2.7847655799050477e-37,8.285384407151838e-56,1.7380742784165477e-07,2.4313564802173744e-45,4.985729227716013e-08,1.0760976306419737e-06,1.9588521947600833e-06,1.0565303388495045e-06,1.0485502796044574e-07,5.124229710949941e-07,5.799986831000496e-09,2.275504484975075e-07,2.1886617932156798e-10,2.609333112701938e-07,1.5994862210180312e-07,3.67833823824237e-07,8.542736179196795e-12
3.3646658240606155e-10,0.07540679193649383,0.0,0.0018665368371035642,0.031075110263184432,0.3194074341115042,0.35048355709124773,0.207012115327025,0.09201819397589756,0.0,6.81816920423207e-22,1.7498243973242415e-07,7.020633720352489e-21,0.0,7.345396257850719e-46,5.653362705993027e-09,4.4009177858436876e-39,4.226001050339033e-25,6.962324768090636e-36,1.5751738380813586e-28,1.907300849105745e-17,1.7808788011756947e-57,2.5058057646446876e-13,3.952265170154312e-39,2.8622694206594614e-37,8.609448023217642e-56,1.747634482141142e-07,2.485407426029049e-45,4.98589850746185e-08,1.079123114933746e-06,1.9742075635065262e-06,1.060057262831894e-06,1.0485319018794158e-07,5.137888462970346e-07,5.824764667313523e-09,2.2927041133827902e-07,2.2123390699830605e-10,2.6444386221494026e-07,1.6091738299972535e-07,3.714612955288497e-07,8.58978405356176e-12
3.383094758402127e-10,0.07540679193649383,0.0,0.0018665037171905856,0.031075110263184432,0.31940742353237733,0.35048355262383823,0.2070121153288643,0.09201819481297203,0.0,6.992839779723416e-22,1.759408513855535e-07,7.136731937305333e-21,0.0,7.63162354804637e-46,5.775566230154643e-09,4.5227327341199826e-39,4.2724211524262955e-25,7.077354561705124e-36,1.6011902217965461e-28,1.9177475090840837e-17,1.8301871031898356e-57,2.519587365240641e-13,4.017563518348364e-39,2.9414890442660043e-37,8.944314886782924e-56,1.7571945545826758e-07,2.540355104396523e-45,4.9860680952817624e-08,1.0821337031696511e-06,1.989580463773236e-06,1.0635662135999287e-06,1.0485135089481309e-07,5.151394176286717e-07,5.849465116622339e-09,2.3098817325518146e-07,2.2361435679220113e-10,2.679769292918642e-07,1.618821408434674e-07,3.7509805403318924e-07,8.636831927651708e-12
